ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,Utilization activity,Metabolite (production)
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,polyhydroxybutyrate
438,JC2042,"DSM 15300, KCTC 12042, IMSNU 14006, CIP 108413",1,1,Aestuariibacter salexigens,+,acetoin
,,,,,,,dinitrogen
,,,,,,,fluorescein
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,nitrite
,,,,,,,polyhydroxybutyrate
133791,,"KACC 16186, JCM 17789, SC 17",1,1,Aestuariibaculum suncheonense,+,indole
12671,R27,"DSM 21549, JCM 14204, KCTC 19182, CIP 109737",1,1,Aestuariimicrobium kwangyangense,+,indole
158355,OITF-44,"DSM 105891, KACC 19569, KCTC 62197, NBRC 113118",1,1,Aestuariimonas insulae,+,sulfide
160775,,"DSM 105254, KCTC 52945, NBRC 112960, SYSU M10001",1,1,Aestuariivirga litoralis,+,hydrogen sulfide
,,,,,,,indole
167386,JA968,"KCTC 15634, NBRC 113338",1,1,Afifella aestuarii,+,indole
13874,BN 126,"DSM 2698, ATCC 35675, CIP 104405, NBRC 100434, NCIMB 2201",1,1,Afifella marina,+,indole
1782,34632,"DSM 17499, CCUG 43108, CIP 106344",1,1,Afipia birgiae,+,hydrogen sulfide
,,,,,,,indole
1780,B91-007286,"DSM 7327, ATCC 49717, CCUG 30458, CIP 103517",1,1,Afipia broomeae,+,indole
1778,"B-91-007352, CSD1, CSD 1","DSM 7326, ATCC 53690, CCUG 30456, CIP 103515",1,1,Afipia felis,+,indole
130217,CRIB-05,"DSM 18162, CIP 108885",1,1,Afipia lausannensis,+,indole
1781,34633,"DSM 17498, CCUG 45153, CIP 107022",1,1,Afipia massiliensis,+,hydrogen sulfide
,,,,,,,indole
134690,SP 3302452,CIP 108312,1,1,Afipia saintantoinensis,+,indole
159752,2p52,"KCTC 52473, MCCC 1H00151",1,1,Agaribacter flavus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
141009,feces2,"MCCC 1A11450, KCTC 52708",1,1,Agaribacterium haliotis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
141010,"17, 017","KCTC 42584, MCCC 1H00123",1,1,Agarilytica rhodophyticola,+,acetoin
,,,,,,,indole
132992,hydD622,"DSM 105029, CGMCC 1.12692, KCTC 32543",1,1,Agarivorans aestuarii,+,indole
133657,,"IAM 14998, LMG 21761, MKT 106, JCM 21469, NBRC 102603, CIP 108457",1,1,Agarivorans albus,+,indole
132202,GJSW-6,"DSM 103824, KCTC 42116, NBRC 110444",1,1,Agarivorans litoreus,+,indole
132395,JK 623,"DSM 29029, LMG 28559",1,1,Agathobacter ruminis,+,indole
132618,SR79,"DSM 100391, KCTC 15532, JCM 30795",1,1,Agathobaculum butyriciproducens,+,acetate
,,,,,,,butanol
,,,,,,,butyrate
,,,,,,,ethanol
133155,,"ATCC 43058, CCUG 27818, JCM 6566",1,1,Agathobaculum desmolans,+,acetate
11752,,"DSM 8324, ATCC 33384, CCUG 13227, CIP 52.106, NCTC 9710",1,1,Aggregatibacter actinomycetemcomitans,+,acetoin
,,,,,,,indole
135780,,"CIP 70.73, ATCC 33389, CCUG 3715, NCTC 5906",1,1,Aggregatibacter aphrophilus,+,acetoin
,,,,,,,indole
157204,PN_528,"CCUG 70536, DSM 105094",1,1,Aggregatibacter kilianii,+,indole
11755,HK316,"DSM 21418, ATCC 33393, CCUG 10787, CCUG 12838, CIP 103292, KCTC 5968, NCTC 10977, CCM 6052",1,1,Aggregatibacter segnis,+,indole
137372,,CIP 109371,1,1,Aggregatibacter simiae,+,indole
7249,DL-4,"DSM 14575, UCM Ac-620, VKM Ac-1804, JCM 12206, IAM 15124, IAM 15138, NBRC 103053, CIP 108057",1,1,Agreia bicolorata,+,indole
7248,P229/10,"DSM 14246, LMG 21000, JCM 12145, CIP 108226, IAM 15151, IAM 15171, LMG 19918, NBRC 103054, VKM Ac-2510",1,1,Agreia pratensis,+,indole
164664,54-2,"JCM 33824, CCM 8896, KCTC 21120, LMG 31058, NCIMB 15154",1,1,Agrilactobacillus yilanensis,+,acetoin
,,,,,,,D-lactate
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,L-lactate
160802,,"DSM 104918, CFBP 8308, LMG 28674, KFB 330",1,1,Agrobacterium arsenijevicii,+,indole
169723,Rnr,"DSM 112541, CFBP 8705",1,1,Agrobacterium burrii,+,indole
134643,AF3.10,"CIP 107320, ATCC 51759, CFBP 5473, KCTC 12935, NCPPB 4096",1,1,Agrobacterium larrymoorei,+,indole
130598,39/7,"DSM 29844, CFBP 7436, LMG 26435",1,1,Agrobacterium nepotum,+,indole
13580,,"DSM 30147, ATCC 19358, IFO 13532, NBRC 13532, NCIB 9042, CCUG 3354, IAM 12048, EX 3.24.2 (L 624), JCM 20371, BCRC 10372, CECT 4112, CIP 104325, HAMBI 1814, ICMP 5785, KACC 10798, KCTC 22091, LMG 140, NCCB 27005, NCIMB 9042, NCPPB 3001, EX 3.24.2",1,1,Agrobacterium radiobacter,+,indole
13573,"TR3, TR 3","DSM 6772, ATCC 13335, NCPPB 1854, JCM 20918, CFBP 1317, CIP 104332, HAMBI 1812, IAM 13569, ICMP 6428, ICPB TR3, IFO 13261, LMG 13935, LMG 156, NBRC 13261",1,1,Agrobacterium rubi,+,indole
140485,,"LMG 29287, HAMBI 3646, YIC 5082",1,1,Agrobacterium salinitolerans,+,acetoin
169724,OT33,"DSM 112540, CFBP 8901",1,1,Agrobacterium shirazense,+,indole
13647,Ch11,"DSM 26438, CFBP 7420, HAMBI 3460, LMG 26191",1,1,Agrobacterium skierniewicense,+,indole
7253,V-108,"DSM 14215, CCM 4953, JCM 12132, CGMCC 1.7256, CIP 107635, IAM 15147, NBRC 103055",1,1,Agrococcus baldri,+,indole
7256,"R-17892t 2, R-17892t2","DSM 18061, CIP 109629, LMG 22410, JCM 14916",1,1,Agrococcus casei,+,indole
7252,D-1/1a,"DSM 12453, JCM 12398, ATCC 700859, CCM 4975, CGMCC 1.7258, CIP 106287, IAM 15145, NCIMB 13599",1,1,Agrococcus citreus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
7250,2002-39/1,"DSM 9580, ATCC 700087, IFO 16126, NBRC 100415, NBRC 16126, CCUG 35514, CIP 106528, JCM 9950, CGMCC 1.7260, IAM 15121, IMSNU 22118, NCIMB 13857, VKM Ac-1839",1,1,Agrococcus jenensis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
7255,K22-21,"DSM 17612, MTCC 7154, JCM 14301, CGMCC 1.7259, CGMCC 1.8869, NCIMB 14388, CIP 109379",1,1,Agrococcus lahaulensis,+,indole
7271,,"DSM 15934, UCM 623, VKM Ac-1800, JCM 13565, CIP 108259, IAM 15234, IAM 15338, NBRC 103057, UCM Ac-623",1,1,Agromyces albus,+,indole
7279,UMS-62,"DSM 21551, JCM 13584, KCTC 19181, CIP 109546",1,1,Agromyces allii,+,indole
7269,,"DSM 14598, AS 4.1717, CCTCC 001012, YIM 21741, JCM 12113, BCRC 16310, CCTCC AA 001012, CGMCC 4.1717, CIP 107976, IAM 15154, KCTC 9967, CCRC 16310",1,1,Agromyces aurantiacus,+,indole
132611,AR33,"DSM 101731, LMG 29235, JCM 32431",1,1,Agromyces aureus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
7282,BZ41,"DSM 22275, CGMCC 1.8984, JCM 17735, CIP 110128",1,1,Agromyces bauzanensis,+,indole
132534,"OAct-353, OAct353","DSM 28305, CGMCC 4.7180, NRRL B-59115, JCM 32487",1,1,Agromyces binzhouensis,+,hydrogen sulfide
,,,,,,,indole
7261,,"DSM 8595, ATCC 51762, IMET 11525, VKM Ac-1340, JCM 9083, CIP 103632, IAM 15140, IFO 15780, LMG 16155, NBRC 15780",1,1,Agromyces cerinus subsp. cerinus,+,indole
7278,,"DSM 8597, ATCC 51764, IMET 11529, VKM Ac-1345, CCUG 35506, JCM 9085, CIP 103633, IAM 15142, IFO 15781, LMG 16156, NBRC 15781",1,1,Agromyces fucosus subsp. fucosus,+,indole
7263,,"DSM 8598, ATCC 51765, IMET 11533, VKM Ac-1352, JCM 9086, CIP 103635, IAM 15143, IFO 15782, LMG 16158, NBRC 15782, JCM 9087",1,1,Agromyces fucosus subsp. hippuratus,+,indole
141074,,"KCTC 39117, CCTCC AB 2014301, CFH S0483, JCM 31741, BCRC 16983",1,1,Agromyces insulae,+,indole
7266,8,"DSM 14595, IFO 16235, NBRC 16235, VKM Ac-2085, JCM 11431, CIP 107131, IAM 15144, KCTC 13907, NCIMB 13882",1,1,Agromyces luteolus,+,indole
7265,,"DSM 20152, ATCC 14004, JCM 3346, NCIB 7206, CIP 104860, IFO 15704, KCTC 3136, NBRC 15704, NCIMB 7206, VKM Ac-1388",1,1,Agromyces mediolanus,+,indole
7272,23-23,"DSM 16197, CIP 108987, NBRC 109084, HKI 0321, JCM 14322, IAM 15296, NCIMB 13990, NCIMB 13989",1,1,Agromyces neolithicus,+,hydrogen sulfide
,,,,,,,indole
168515,FW100M-8,"KACC 19308, NBRC 113048",1,1,Agromyces protaetiae,+,indole
7260,PSU 38L,"DSM 43045, ATCC 25173, KCC A-0108, JCM 3108, BCRC 12879, CIP 103037, IAM 15120, IFO 13895, IFO 13899, IMET 11027, KCTC 9232, LMG 16680, MTCC 267, NBRC 13895, NBRC 13899, NCIMB 10801, VKM Ac-1198",1,1,Agromyces ramosus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
7268,14,"DSM 14597, IFO 16236, NBRC 16236, VKM Ac-2086, JCM 11432, CIP 108986, IAM 15153, KCTC 13908",1,1,Agromyces rhizosphaerae,+,indole
7273,"108989, 20-5","DSM 16198, HKI 0320, JCM 14323, CIP 108989, IAM 15297, NCIMB 13989, NCIMB 13990",1,1,Agromyces salentinus,+,hydrogen sulfide
,,,,,,,indole
7277,Z33,"DSM 16689, NCIMB 14025, HKI 0340, JCM 14324, IAM 15298, CIP 108957",1,1,Agromyces subbeticus,+,hydrogen sulfide
,,,,,,,indole
159616,SJ-23,"DSM 105049, CGMCC 4.7419",1,1,Agromyces tardus,+,hydrogen sulfide
7270,XIL01,"DSM 15747, CIP 108592, LMG 21954, NBRC 109083, JCM 13315, IAM 15233",1,1,Agromyces ulmi,+,indole
159867,D13,"KACC 19270, JCM 31634",1,1,Ahniella affigens,+,hydrogen sulfide
132956,Pyt,"DSM 100705, CIP 110913",1,1,Akkermansia glycaniphila,+,indole
7221,DM9,"DSM 22800, CIP 106788, VKM B-2189",1,1,Albibacter helveticus,+,indole
14116,BZ42,"DSM 22554, CGMCC 1.10187, CIP 110134",1,1,Albibacterium bauzanense,+,indole
158774,S1-47,"KACC 18804, JCM 31536",1,1,Albirhodobacter confluentis,+,dinitrogen
,,,,,,,indole
134159,,"CCUG 50924, CIP 108999, LMG 22996",1,1,Alcaligenes aquatilis,+,indole
133384,"AER 10, AER10","DSM 100498, KCTC 42688",1,1,Alcaligenes endophyticus,+,hydrogen sulfide
,,,,,,,indole
327,"16 (R. Hugh 135), 135, 16","DSM 30030, ATCC 8750, CCM 1052, CIP 60.80, IFO 13111, NBRC 13111, NCDO 868, NCIB 8156, CCUG 1814, NCTC 11953, LMG 1229, JCM 20522, BCRC 10828, CCUG 1325, CECT 928, CGMCC 1.1786, HAMBI 1907, IAM 12369, IAM 12586, JCM 1474, JCM 20663, KCTC 2678, LMG 2100, LMG 3366, LMG 3369, LMG 3371, NCAIM B.01104, NCAIM B.02076, NCIMB 8156, VKM B-1518, VTT E-97056, IMET 10443, NBIMCC 153, CIP 55.84",1,1,Alcaligenes faecalis subsp. faecalis,+,acetoin
,,,,,,,dinitrogen
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,nitrite
337,G,"DSM 13975, CCUG 48316, CIP 106866, CCM 7340",1,1,Alcaligenes faecalis subsp. parafaecalis,+,indole
338,J,"DSM 16503, CCUG 54936, NRRL B-41076, CIP 110691",1,1,Alcaligenes faecalis subsp. phenolicus,+,indole
395,MACL04,"DSM 23776, CECT 5683, LMG 22508, CIP 109716",1,1,Alcanivorax balearicus,+,indole
391,SK2,"DSM 11573, ATCC 700651, CIP 105606",1,1,Alcanivorax borkumensis,+,indole
159770,SW127,"CGMCC 1.16233, KCTC 62652",1,1,Alcanivorax indicus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
158801,MT13131,"MCCC 1A11581, KCTC 52985",1,1,Alcanivorax mobilis,+,hydrogen sulfide
140512,19-m-6,"MCCC 1A05629, KCTC 52137",1,1,Alcanivorax nanhaiticus,+,indole
140562,SK-16,"NBRC 110220, KCTC 32974",1,1,Algibacter aquaticus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
5480,M-3Alg 15-1,"DSM 15365, KCTC 12103, KMM 3902, JCM 21761, IAM 15311, LMG 23347, LMG 22573, NBRC 100591",1,1,Algibacter lectus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
134276,,"KCTC 127105, LMG 23988, KMM 6171T, CIP 109749, KCTC 12710, KMM 6171",1,1,Algibacter mikhailovii,+,indole
12675,B-10-31,"DSM 14643, JCM 11461, CIP 108220",1,1,Algicola sagamiensis,+,indole
,,,,,,,leupeptin
,,,,,,,marinostatin
133393,S2-A1,"KACC 18987, JCM 31546",1,1,Algoriphagus aestuariicola,+,indole
17709,"AC-74, AC74","DSM 22703, CIP 108470, LMG 22694",1,1,Algoriphagus alkaliphilus,+,indole
133458,A8-7,"CGMCC 1.7030, NBRC 104237",1,1,Algoriphagus aquatilis,+,hydrogen sulfide
17704,,"DSM 23399, CCUG 47101, KMM 3958, LMG 21971, CIP 108555",1,1,Algoriphagus aquimarinus,+,indole
164479,F21,"JCM 33187, KCTC 72106, KEMB 2250-007",1,1,Algoriphagus aquimaris,+,hydrogen sulfide
,,,,,,,indole
17705,,"CIP 108556, DSM 19830, CCUG 47095, KMM 3957, LMG 21970",1,1,Algoriphagus chordae,+,indole
17698,JC2051,"DSM 15292, IMSNU 14013, KCTC 12051, CIP 108304",1,1,Algoriphagus halophilus,+,indole
133329,S61,"DSM 102044, CCTCC AB 2015446",1,1,Algoriphagus iocasae,+,acetoin
,,,,,,,indole
167490,XY-J91,"MCCC 1K03612, KCTC 72216",1,1,Algoriphagus kandeliae,+,indole
170941,N3,"KCTC 62622, MCCC 1H00308",1,1,Algoriphagus lacus,+,hydrogen sulfide
,,,,,,,indole
17700,JC2050,"DSM 15301, IMSNU 14012, KCTC 12050, CIP 108302",1,1,Algoriphagus mannitolivorans,+,indole
140525,am2,"KCTC 52549, MCCC 1H00178",1,1,Algoriphagus marinus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,tween 20
133513,"CC-Hsuan-617, Hsuan-617","BCRC 17886, CCUG 57471, DSM 22140",1,1,Algoriphagus olei,+,indole
17699,JC2052,"DSM 15282, IMSNU 14014, KCTC 12052, CIP 108303",1,1,Algoriphagus ornithinivorans,+,indole
17703,IC025,"DSM 22686, ACAM 646, CIP 107452, LMG 21435",1,1,Algoriphagus ratkowskyi,+,indole
140228,W29,"DSM 100160, KCTC 42940, MCC 2876",1,1,Algoriphagus roseus,+,hydrogen sulfide
,,,,,,,indole
17708,DS-44,"DSM 22685, CIP 108837, KCTC 12545",1,1,Algoriphagus terrigena,+,indole
17701,M-2Alg 14,"DSM 15360, CCUG 47094, KMM 3956, LMG 21969, CIP 108557, JCM 13505",1,1,Algoriphagus winogradskyi,+,indole
170901,F199,"CECT 9230, LMG 30050",1,1,Arcobacter vitoriensis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
2906,K601,"DSM 14773, CIP 107495, CCUG 64014",1,1,Alicycliphilus denitrificans,+,indole
414,TA-67,"DSM 14558, IAM 14935, NRIC 0496, JCM 21417, CIP 107723, NBRC 100859, NRIC 6496",1,1,Alicyclobacillus acidiphilus,+,acetoin
,,,,,,,indole
416,"104-IA, 104-1A","CCUG 28521, NRRL B-14509, DSM 446, ATCC 27009, CIP 106131, IFO 15652, JCM 5260, NBRC 15652, NCIB 11725, BCRC 14685, CECT 4328, KCTC 1825, NCIMB 11725, IMET 11356",1,1,Alicyclobacillus acidocaldarius subsp. acidocaldarius,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
435,TC-34,"DSM 22381, CGMCC 1.6357, JCM 15090",1,1,Alicyclobacillus ferrooxydans,+,indole
424,"3A, 3AT","DSM 14955, IAM 14988, JCM 21459, CIP 108162, NBRC 100861",1,1,Alicyclobacillus pomorum,+,indole
140844,GBPy7,"IBRC-M 10763, CECT 8339",1,1,Aliidiomarina iranensis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
140532,GBSy1,"CECT 8340, IBRC-M 10764",1,1,Aliidiomarina sedimenti,+,hydrogen sulfide
,,,,,,,indole
133375,Y4G10-17,"CGMCC 1.15759, KCTC 52381",1,1,Aliidiomarina soli,+,indole
133686,AIT1,"JCM 16052, BCRC 80035, NCCB 100321",1,1,Aliidiomarina taiwanensis,+,indole
133344,7M-Z19,"NBRC 112240, KCTC 52134, CGMCC 1.15725, DSM 107831",1,1,Aliidongia dinghuensis,+,bacteriochlorophyll alpha
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,polyhydroxybutyrate
140832,2W32,"KCTC 42497, CICC 23869",1,1,Fodinibius halophilus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
140954,KHM44,"KACC 19060, NBRC 112531",1,1,Fodinibius salicampi,+,indole
167731,ECH52,"KACC 19126, NBRC 112664",1,1,Fodinibius saliphilus,+,indole
133419,E3,"CGMCC 1.7001, JCM 15139",1,1,Aliiglaciecola lipolytica,+,hydrogen sulfide
13769,"CV919-312, CVSP","DSM 16950, ATCC BAA-1102",1,1,Aliiroseovarius crassostreae,+,indole
24498,MA1-10,"DSM 27840, CCUG 60745, KCTC 23462",1,1,Aliiroseovarius halocynthiae,+,indole
167643,A6024,"KCTC 72114, MCCC 1K03595",1,1,Aliiroseovarius marinus,+,hydrogen sulfide
130625,M-M10,"DSM 29439, CCUG 62413, KCTC 23959",1,1,Aliiroseovarius sediminilitoris,+,indole
17248,398,"DSM 507, ATCC 7744, JCM 18803, NCMB 1281, CCUG 13450, CAIM 329, LMG 4414, CIP 103206, NCCB 80039, BCRC 12900, CCUG 16305, CECT 524, CIP 75.08, CIP 75.8, KCTC 12272, KCTC 12386, NCIMB 1281, NRRL B-41164, NRRL B-761",1,1,Aliivibrio fischeri,+,acetoin
,,,,,,,dinitrogen
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,nitrite
17251,"584, Baumann584","DSM 21555, ATCC 29985, CCUG 20283, CIP 104991, KCTC 52966, LMG 21012, NCIMB 2252",1,1,Aliivibrio logei,+,indole
17252,HI7751,"DSM 21110, ATCC 43839, CIP 103166, LMG 7904, NCIMB 2262",1,1,Aliivibrio salmonicida,+,indole
440,,"DSM 16032, ATCC BAA-284, CCUG 30811, CIP 106648",1,1,Alishewanella fetalis,+,indole
14030,,"DSM 17242, CCUG 46020, CIP 107999, KCTC 15236, AHN 2437, JCM 16770, VTT E-093113T",1,1,Alistipes finegoldii,+,indole
14033,,"DSM 22520, JCM 16068, YIT 12060",1,1,Alistipes indistinctus,+,indole
140125,627,"DSM 28863, VKM B-2859, JCM 32777",1,1,Alistipes inops,+,indole
14031,,"KCTC 15237, DSM 19147, ATCC BAA-1178, CCUG 48946, WAL 8169, JCM 16771",1,1,Alistipes onderdonkii subsp. onderdonkii,+,indole
14029,"Carlier 10203, strain 1 Ando, 10203, 1 And","DSM 17216, CCUG 45780, CIP 104286, ATCC 29800, VPI 3293, JCM 16772",1,1,Alistipes putredinis,+,indole
14032,,"DSM 19121, ATCC BAA-1179, CCUG 48947, KCTC 15238, WAL 8301, JCM 16773",1,1,Alistipes shahii,+,indole
546,"BH163, 9.101","DSM 16460, JCM 13894, KCTC 3916, CIP 108970",1,1,Alkalibacillus salilacus,+,indole
547,BM2,"DSM 18495, JCM 14193, CIP 109569",1,1,Alkalibacillus silvisoli,+,indole
134116,M3,"JCM 12662, NCIMB 14024, BCRC 17791, CIP 108873",1,1,Alkalibacterium iburiense,+,indole
1277,CG-15,"DSM 18086, CCM 7371, CECT 7153, CGMCC 1.6292, CIP 109712",1,1,Alkalicoccus chagannorensis,+,indole
22921,,"DSM 26767, CGMCC 1.10369, DLS 13, JCM 17097, NBRC 107572",1,1,Alkalicoccus daliensis,+,hydrogen sulfide
,,,,,,,indole
140264,BZ-SZ-XJ29,"DSM 29191, CGMCC 1.12936, JCM 30193",1,1,Alkalicoccus halolimnae,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
1235,6AG,"DSM 15402, ATCC BAA-957",1,1,Alkalicoccus saliphilus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
132547,BZ-SZ-XJ18,"DSM 29145, JCM 30195",1,1,Alkalicoccus urumqiensis,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
17805,Z-7010,"DSM 15055, VKM B-2311",1,1,Alkaliflexus imshenetskii,+,acetate
,,,,,,,dihydrogen
,,,,,,,formate
,,,,,,,fumarate
,,,,,,,propionate
,,,,,,,succinate
572,1,"DSM 485, ATCC 27647, JCM 5262, NCIB 10436, NCIB 8772, NCTC 4553, CCUG 28516, NRRL B-14309, BCRC 15419, CECT 1, CGMCC 1.3604, CIP 103410, IAM 12461, IFO 15653, KCTC 1824, KCTC 3884, LMG 17938, LMG 7120, NBRC 15653, NCIMB 10436, NCIMB 8772, NRRL NRS-1548, VTT E-87298",1,1,Alkalihalobacillus alcalophilus,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
1109,"C 324, PN 3","DSM 8715, ATCC 700159, NCIB 10283, CIP 105299, NCIMB 10283",1,1,Alkalihalophilus pseudofirmus,+,indole
166505,34079,"KCTC 62428, MCCC 1K03493",1,1,Alkalilacustris brevis,+,3-hydroxybutyrate
,,,,,,,Bacteriochlorophyll alpha
,,,,,,,hydrogen sulfide
134258,AC40,"JCM 14267, NCIMB 14266, CIP 109634",1,1,Alkalimonas collagenimarina,+,indole
160178,LacT,"DSM 100337, JCM 30643",1,1,Alkaliphilus serpentinus,+,isovalerate
141012,,"NBRC 110719, DSM 29531, CPCC 204077",1,1,Allobranchiibius huperziae,+,hydrogen sulfide
132683,,"DSM 101835, KCTC 42969, SYSU 10HL1970",1,1,Allofrancisella frigidaquae,+,acetoin
,,,,,,,indole
132684,08HL01032,"DSM 102975, ATCC BAA-2361, CCUG 60119, NCTC 13503",1,1,Allofrancisella guangzhouensis,+,indole
132682,,"DSM 101834, KCTC 42968, SYSU YG23",1,1,Allofrancisella inopinata,+,acetoin
,,,,,,,indole
140855,MWE-A11,"JCM 19371, KCTC 29232",1,1,Allohumibacter endophyticus,+,indole
13509,R761-7,"DSM 44149, ATCC 55061, JCM 9917, KCTC 9837, NBRC 101910, NRRL B-24461, CGMCC 4.1881, NCIMB 13433",1,1,Allokutzneria albata,+,acetoin
,,,,,,,cycloviracin B1
,,,,,,,cycloviracin B2
,,,,,,,dinitrogen
,,,,,,,hydrogen sulfide
,,,,,,,indole
,,,,,,,nitrite
23199,81/4 12,"DSM 22548, CCUG 58091, KCTC 15416",1,1,Alloprevotella rava,+,indole
166247,,"KCTC 23617, CECT 7957, HME 7025",1,1,Aquirufa nivalisilvae,+,indole
13641,DN316,"DSM 26385, CICC 10378, HAMBI 3454, LMG 23925",1,1,Allorhizobium borbori,+,indole
130597,,"DSM 100021, ACCC 14971, HAMBI 3214, CCNWSX 0483",1,1,Allorhizobium taibaishanense,+,indole
138767,,"CIP 105883, LMG 11875, JCM 21822, ATCC 700741, IAM 15378, ORS 992",1,1,Allorhizobium undicola,+,indole
139548,K309,"CIP 105853, NCPPB 3554, ATCC 49767, ICMP 10752, HAMBI 1817, LMG 8750",1,1,Allorhizobium vitis,+,indole
1767,,"DSM 21503, CCUG 31649, LMG 23792, CIP 109610",1,1,Alloscardovia omnicolens,+,indole
160006,"GLDI 4/2, GLDI4/2","DSM 106019, JCM 32430",1,1,Alloscardovia theropitheci,+,indole
140346,MOZIV/2,"DSM 100237, CCM 8604, LMG 28781",1,1,Alloscardovia venturai,+,indole
24495,22DY03,"DSM 29329, CGMCC 1.12410, JCM 18866",1,1,Allosediminivita pacifica,+,indole
14296,YC7378,"DSM 21593, KCTC 22446",1,1,Allosphingosinicella vermicomposti,+,indole
133062,,"DSM 42178, CGMCC 4.7247, YIM DR4008",1,1,Allostreptomyces psammosilenae,+,hydrogen sulfide
23231,DX5-10,"DSM 26894, CGMCC 1.3455, JCM 12573, CIP 109187, NCIMB 14310",1,1,Alloyangia pacifica,+,indole
133228,100921-2,"CFCC 14287, KCTC 42844",1,1,Tsuneonella aeria,+,acetoin
,,,,,,,indole
166543,Ery1,"KCTC 62387, CGMCC 1.16499, MCCC 1A10037",1,1,Pelagerythrobacter aerophilus,+,Bacteriochlorophyll alpha
166461,NS1,"CGMCC 1.13679, NBRC 113553",1,1,Tsuneonella amylolytica,+,hydrogen sulfide
,,,,,,,indole
140745,THG-S3,"KACC 19190, CGMCC 1.15959",1,1,Tsuneonella deserti,+,indole
140988,BR-75,"CECT 9129, LMG 29518, BR 75, UCCCB41",1,1,Altericroceibacterium endophyticum,+,acetate
,,,,,,,hydrogen sulfide
,,,,,,,indole
159780,MS1-4,"MCCC 1K02683, NBRC 112977",1,1,Tsuneonella flava,+,hydrogen sulfide
158660,S-54,"KEMB 9005-542, KACC 19119, NBRC 112676",1,1,Altererythrobacter fulvus,+,indole
140987,CPA5,"CECT 9130, LMG 29519, UCCCB42",1,1,Alteriqipengyuania halimionae,+,acetate
,,,,,,,hydrogen sulfide
,,,,,,,indole
166460,BPTF-M16,"KCTC 62421, KACC 19609, NBRC 113190",1,1,Altererythrobacter insulae,+,Bacteriochlorophyll alpha
134119,SW-109,"KCTC 12311, JCM 12599, CIP 108783, CGMCC 1.7690",1,1,Pontixanthobacter luteolus,+,indole
166532,GH1-16,"KCTC 52845, NBRC 113275",1,1,Parerythrobacter lutipelagi,+,indole
158561,C9-11,"MCCC 1K03311, JCM 32056",1,1,Tsuneonella mangrovi,+,acetoin
133493,H32,"CCTCC AB 208229, LMG 24629, MCCC 1A01070",1,1,Pelagerythrobacter marinus,+,hydrogen sulfide
166512,,"KCTC 32463, KACC 17617, CECT 8417, HME 9302",1,1,Alteripontixanthobacter maritimus,+,esculin ferric citrate
,,,,,,,indole
140815,WW3,"KCTC 42620, JCM 30975",1,1,Tsuneonella rigui,+,hydrogen sulfide
,,,,,,,indole
,,,,,,,nitrate
133411,XY-R17,"KCTC 52267, MCCC 1K01500",1,1,Croceibacterium salegens,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
133297,,"CAU 1172, KCTC 42453, NBRC 110917",1,1,Pontixanthobacter sediminis,+,hydrogen sulfide
,,,,,,,indole
133352,MN-1,"KCTC 52135, MCCC 1K02066",1,1,Croceibacterium soli,+,hydrogen sulfide
,,,,,,,indole
133643,S3-63,"CCTCC AB 207166, CIP 110125",1,1,Altericroceibacterium xinjiangense,+,indole
140743,S36,"CGMCC 1.12804, NBRC 110413",1,1,Croceibacterium xixiisoli,+,indole
133205,JC229,"LMG 28999, KCTC 33726",1,1,Alteribacillus alkaliphilus,+,acetoin
,,,,,,,indole
164197,M30,"JCM 32118, CGMCC 1.16739, MCC 3010",1,1,Alteribacter natronophilus,+,indole
158381,FJAT-45347,"DSM 104632, CCTCC AB 2016257",1,1,Alteribacter populi,+,acetoin
,,,,,,,hydrogen sulfide
,,,,,,,indole
