ID,designation_header,strain_number_header,is_type_strain_header,is_type_strain,species,Enzyme activity,Enzyme
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
2359,PSU-16S,"DSM 14368, ATCC 25174, CCUG 35596, NRRL B-3752, JCM 11945, CIP 104614, NCIMB 10802, PCM 2416",1,1,Cellulomonas humilata,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,amylase
,,,,,,+,beta-galactosidase
,,,,,,+,caseinase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
2366,O,"DSM 14785, ATCC 700643, IFO 16734, NBRC 16734, JCM 18110, CIP 107678, JCM 12410, KCTC 9983, NBRC 101100",1,1,Cellulomonas iranensis,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,amylase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,DNase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
23832,FXJ8.089,"DSM 24960, CGMCC 4.6945, NBRC 110784, JCM 30777",1,1,Cellulomonas marina,+,catalase
,,,,,,+,gelatinase
2376,Kc5,"DSM 24482, JCM 17534, NBRC 109435",1,1,Cellulomonas oligotrophica,+,catalase
,,,,,,+,gelatinase
2365,I,"DSM 14784, ATCC 700642, IFO 16733, NBRC 16733, JCM 18111, CIP 107677, JCM 12411, KCTC 9984, NBRC 101101",1,1,Cellulomonas persica,+,alpha-chymotrypsin
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,amylase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,DNase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
2374,KB23,"DSM 22512, JCM 19545, NBRC 110785, NCAIM B002303, NCAIM B.002303",1,1,Cellulomonas phragmiteti,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
2377,Kc1,"DSM 24484, JCM 17535, NBRC 109434",1,1,Cellulomonas soli,+,catalase
,,,,,,+,gelatinase
159213,,"DSM 105430, KCTC 39974, CPCC 204705",1,1,Cellulomonas telluris,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,naphthol-AS-BI-phosphohydrolase
2370,"DB 5, DB5","DSM 17791, KCTC 19081, NBRC 100819, JCM 14899, CIP 108880",1,1,Cellulomonas terrae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,amylase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,caseinase
,,,,,,+,DNase
,,,,,,+,esterase (C 4)
2357,"136, NRS-136","DSM 20107, ATCC 491, NCIB 8200, JCM 1492, BCRC 14868, CCUG 24088, CECT 4284, CFBP 4256, CGMCC 1.1916, CIP 102089, IAM 12111, IFO 3747, KCCM 12156, KCTC 1441, LMG 16327, NBRC 3747, NCAIM B.01382, NCIMB 8200, NRRL B-404, VKM Ac-1140",1,1,Cellulomonas uda,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,beta-glucuronidase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase lipase (C 8)
2368,"XIL11, CIL11","DSM 16933, CECT 5729, LMG 21723, JCM 14281, CIP 108340, NBRC 101102",1,1,Cellulomonas xylanilytica,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,amylase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,beta-glucuronidase
,,,,,,+,caseinase
5500,IC166,"DSM 14237, ACAM 630, CIP 107446, LMG 21425",1,1,Cellulophaga algicola,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,amylase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
5501,NN015840,"DSM 24729, ATCC 700862, CIP 106307, LMG 18535, NCIMB 13610",1,1,Cellulophaga baltica,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,amylase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
5502,NN015860,"DSM 24786, ATCC 700863, CIP 106308, JCM 21778, LMG 18536, NCIMB 13611, IAM 15330",1,1,Cellulophaga fucicola,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,amylase
,,,,,,+,beta-galactosidase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,leucine arylamidase
133730,M-M6,"KCTC 23498, CCUG 60801",1,1,Cellulophaga geojensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
5499,"LIM -21, LIM 21","DSM 7489, ATCC 23178, IAM 14306, Cy l20, JCM 8516, CECT 5014, CIP 103822, IFO 14961, KCTC 2913, KCTC 2914, LMG 1344, LMG 8371, NBRC 14961, NCIMB 1423, VKM B-1433, DSM 2039, LMG 14961",1,1,Cellulophaga lytica,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase
,,,,,,+,oxidase
133654,R3664,"JCM 11735, LMG 21938, KMM 3664, CIP 108317, NBRC 101531",1,1,Cellulophaga pacifica,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,amylase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,DNase
5503,EM41,"DSM 21164, KCTC 22297",1,1,Cellulophaga tyrosinoxydans,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
12575,,"DSM 43879, ATCC 12830, DSM 43189, IMET 7404, NCIB 8868, CCUG 50776, CIP 103404, LMG 16221, NCIMB 8868, JCM 9965, BCRC 17274, CECT 4282, CFBP 4267, HAMBI 95, IAM 14866, IFO 15516, KCCM 40761, KCTC 1771, KCTC 3259, KCTC 3411, NBIMCC 1642, NBRC 15516, NCTC 8868, NRRL B-2768, VKM Ac-1412",1,1,Cellulosimicrobium cellulans,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,oxidase
12581,"C8821, W6122","DSM 16025, ATCC BAA-886, CCUG 50705, JCM 14302, CIP 108915, NBRC 104118, VTT E-072700",1,1,Cellulosimicrobium funkei,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
12582,DS-61,"DSM 18665, KCTC 19206, JCM 15619, NBRC 106259",1,1,Cellulosimicrobium terreum,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,urease
140697,MVW-40,"BCRC 80977, LMG 29557, KCTC 52237",1,1,Cellvibrio fontiphilus,+,2-nitrophenyl beta-D-galactopyranoside
,,,,,,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
140658,Ueda107,"NCDO 2697, NCIMB 10462, DSM 16015",1,1,Cellvibrio japonicus,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,cellulase
,,,,,,+,cytochrome oxidase
,,,,,,+,"endo-1,4-beta-xylanase"
,,,,,,+,esterase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
140168,CV41,"DSM 100879, ATCC TSD-39, NCIMB 15005",1,1,Cephaloticoccus capnophilus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,beta-galactosidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,urease
140800,CAG34,"NCIMB 15004, ATCC TSD-38",1,1,Cephaloticoccus primus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
1325,BLxT,"DSM 15825, IAM 15044, JCM 21507, KCTC 3815",1,1,Cerasibacillus quisquiliarum,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
134262,YM26-026,"MBIC 082805, KCTC 12870, CIP 109746, MBIC 08280",1,1,Cerasicoccus arenae,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,naphthol-AS-BI-phosphohydrolase
13656,JA139,"DSM 18774, CCUG 53722, JCM 14338, BCRC 80280, KCTC 5728",1,1,Cereibacter changlensis,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
5475,AMV16,"DSM 22818, CCUG 58431, CIP 110152",1,1,Cesiribacter andamanensis,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,catalase
,,,,,,+,leucine arylamidase
,,,,,,+,oxidase
,,,,,,+,trypsin
,,,,,,+,valine arylamidase
133666,311,"CCTCC AB 207142, KACC 15456",1,1,Cesiribacter roseus,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,gelatinase
5783,,"DSM 23941, ATCC BAA-474, CCUG 46254, CIP 108038, WAL 14325",1,1,Cetobacterium somerae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
166151,PRB40,"MCC 3406, GDMCC 1.1197, KCTC 52678, LMG 29985",1,1,Chakrabartia godavariana,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,cytochrome oxidase
,,,,,,+,leucine arylamidase
158533,SM1355,"JCM 30336, CCTCC AB 2014246",1,1,Changchengzhania lutea,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
132550,RB-25,"DSM 28811, LMG 28304",1,1,Chania multitudinisentens,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,beta-glucuronidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,lipase (C 14)
,,,,,,+,N-acetyl-beta-glucosaminidase
133790,Nis3,"JCM 17863, KCTC 23707",1,1,Chelativorans composti,+,catalase
,,,,,,+,cytochrome oxidase
11897,,"DSM 9103, VKM B-2394",1,1,Chelativorans multitrophicus,+,catalase
,,,,,,+,cytochrome oxidase
1652,TE2,"DSM 6462, ATCC 51531",1,1,Chelatococcus asaccharovorans,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,arginine dihydrolase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,nitrate reductase
,,,,,,+,urease
131683,EBR-4-1,"DSM 103737, JCM 30181, KCTC 32487",1,1,Chelatococcus caeni,+,beta-glucosidase
,,,,,,+,cytochrome oxidase
,,,,,,+,urease
133085,PC-2,"DSM 101465, CGMCC 1.15283",1,1,Chelatococcus composti,+,catalase
,,,,,,+,cytochrome oxidase
1654,K106,"DSM 22069, CCUG 54519, KCTC 12979",1,1,Chelatococcus daeguensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,arginine dihydrolase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
,,,,,,+,nitrate reductase
133219,B2974,"DSM 105737, JCM 30308, CGMCC 1.12919",1,1,Chelatococcus reniformis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
1653,HT4,"DSM 18167, JCM 14988",1,1,Chelatococcus sambhunathii,+,arginine dihydrolase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,tryptophan deaminase
,,,,,,+,urease
11756,1662,"DSM 21392, CCUG 55632, CIP 110019",1,1,Chelonobacter oris,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
132989,,"DSM 100641, CCTCC AB 2015175, KCTC 42661, CHL 1",1,1,Chenggangzhangella methanolivorans,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,lipase (C 14)
,,,,,,+,naphthol-AS-BI-phosphohydrolase
166177,YPA3-1-1,"MCCC 1A14042, KCTC 43019",1,1,Chengkuizengella marina,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,gelatinase
,,,,,,+,leucine arylamidase
140684,J15A17,"KCTC 33759, MCCC 1H00137",1,1,Chengkuizengella sediminis,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
24683,CC-YHH031,"DSM 24163, BCRC 80273, JCM 17639, CECT 9202, DSM 24137",1,1,Chiayiivirga flava,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
10448,TNR-14,"DSM 22217, BCRC 17968, LMG 25206",1,1,Chitinibacter alvei,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
133181,STM-7,"BCRC 80923, LMG 29289, KCTC 42982, DSM 107335",1,1,Chitinibacter fontanus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
10447,S1,"DSM 15459, BCRC 17254, CIP 108626, BCRC 17254 (S1)",1,1,Chitinibacter tainanensis,+,acid phosphatase
,,,,,,+,amylase
,,,,,,+,caseinase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
10523,c14,"DSM 21506, BCRC 17533, LMG 23346",1,1,Chitinilyticum aquatile,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
10524,c1,"DSM 21440, BCRC 17609",1,1,Chitinilyticum litopenaei,+,alkaline phosphatase
,,,,,,+,catalase
1993,"R2A43-10, R2A 43-10","DSM 17726, KACC 11467, CIP 109380",1,1,Chitinimonas koreensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gelatinase
158568,H2,"KCTC 52574, LMG 29894",1,1,Chitinimonas lacunae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
164079,AR2,"JCM 31504, KCTC 42755, DSM 113465",1,1,Chitinimonas naiadis,+,cytochrome oxidase
23818,,"DSM 29130, CECT 7703, KCTC 22839, HMD 2169",1,1,Chitinimonas viridis,+,beta-glucosidase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
23450,KL-9,"DSM 27165, BCRC 80168, LMG 25530",1,1,Chitinivorax tropicus,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
166466,T22,"ACCC 60125, KCTC 62518",1,1,Chitinophaga alhagiae,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-D-fucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,beta-glucuronidase
,,,,,,+,catalase
,,,,,,+,chymotrypsin
,,,,,,+,cystine arylamidase
17742,M64,"DSM 3695, ATCC 51264, IAM 12650, JCM 2836, NCIB 11855, CECT 358, CIP 104804, IFO 14973, IFO 16136, KCTC 2943, NBRC 14973, NBRC 16136, NCIMB 11855",1,1,Chitinophaga arvensicola,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase lipase (C 8)
,,,,,,+,gamma-glutamyltransferase
159860,13,"CICC 24262, KCTC 62265",1,1,Chitinophaga caeni,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
133826,"R156-2, RI56-2","ACCC 05363, KCTC 23738",1,1,Chitinophaga cymbidii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,cytochrome oxidase
166493,XJ-2,"KCTC 62443, CCTCC AB 2018019",1,1,Chitinophaga deserti,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
17744,Fx e1,"CCUG 12809, CIP 106401, DSM 527, ATCC 29495, IAM 14320, IFO 15056, NBRC 15056, JCM 21160, HAMBI 1966, LMG 23482, NCIMB 13250, VKM B-1400",1,1,Chitinophaga filiformis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,amylase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,caseinase
,,,,,,+,cystine arylamidase
,,,,,,+,gamma-glutamyltransferase
17747,M1-09,"DSM 18108, KCTC 12654, Gsoil 040",1,1,Chitinophaga ginsengisegetis,+,urease
158622,Ktm-2,"KEMB 9005-693, KACC 19388, JCM 32158",1,1,Chitinophaga humicola,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
17745,758,"DSM 13484, IFO 16041, JCM 9735, CCUG 51324, CIP 105790, NBRC 16041",1,1,Chitinophaga japonensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,amylase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,caseinase
166525,ZY74,"CCTCC AB 2018369, KCTC 72039",1,1,Chitinophaga lutea,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
,,,,,,+,esterase Lipase (C 8)
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
17750,JS13-10,"DSM 24787, JCM 15440, KACC 12952, NBRC 106412, UCCCB101",1,1,Chitinophaga niabensis,+,alpha-galactosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
17751,JS16-4,"DSM 24859, JCM 15441, KACC 12954",1,1,Chitinophaga niastensis,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,urease
133769,YC7001,"KACC 14533, JCM 16595, NBRC 109756",1,1,Chitinophaga oryziterrae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,gelatinase
159794,LY-1,"CCTCC AB 2018018, KCTC 62444",1,1,Chitinophaga parva,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-chymotrypsin
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,alpha-mannosidase
,,,,,,+,beta-D-fucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,beta-glucuronidase
17740,,"DSM 2588, ATCC 43595, IFO 15968, NBRC 15968, UQM 2034, CIP 107364, ACM 2034, NCIMB 11800",1,1,Chitinophaga pinensis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase (C 4)
140710,T16R-86,"KACC 18790, JCM 31600",1,1,Chitinophaga rhizosphaerae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
17752,CS5-B1,"DSM 21039, KCTC 22170",1,1,Chitinophaga rupis,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-galactosidase
,,,,,,+,gelatinase
17743,BA-3,"DSM 784, ATCC 23092, IFO 15057, NBRC 15057, CCUG 56030, LMG 8377, HAMBI 1988, VKM B-1428, CIP 107780, NCIMB 1379",1,1,Chitinophaga sancti,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,amylase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,esterase (C 4)
,,,,,,+,gamma-glutamyltransferase
,,,,,,+,leucine arylamidase
,,,,,,+,N-acetyl-beta-glucosaminidase
,,,,,,+,naphthol-AS-BI-phosphohydrolase
140711,TFL-3,"ACCC 19966, KCTC 52590",1,1,Chitinophaga sedimenti,+,beta-galactosidase
,,,,,,+,catalase
,,,,,,+,cytochrome oxidase
166453,K20C18050901,"GDMCC 1.1411, KCTC 62860",1,1,Chitinophaga silvisoli,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,cystine arylamidase
,,,,,,+,cytochrome oxidase
,,,,,,+,esterase
17748,"CC SG-1B, CC-SG1B","DSM 23857, CCUG 52510, CIP 109140",1,1,Chitinophaga skermanii,+,acid phosphatase
,,,,,,+,alkaline phosphatase
,,,,,,+,alpha-fucosidase
,,,,,,+,alpha-galactosidase
,,,,,,+,alpha-glucosidase
,,,,,,+,beta-galactosidase
,,,,,,+,beta-glucosidase
,,,,,,+,catalase
,,,,,,+,cystine arylamidase
,,,,,,+,esterase (C 4)
17749,KP01,"DSM 23920, KCTC 12836, LMG 24015, CIP 109744",1,1,Chitinophaga terrae,+,acid phosphatase
,,,,,,+,alkaline phosphatase
