"name","eq","way","ec","ko","rn","symbol","map","md"
"NADH dehydrogenase (ubiquinone) Fe-S protein 1 [EC:7.1.1.2], NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:7.1.1.2], NADH dehydrogenase (ubiquinone) Fe-S protein 3 [EC:7.1.1.2], NADH dehydrogenase (ubiquinone) Fe-S protein 4, NADH dehydrogenase (ubiquinone) Fe-S protein 5, NADH dehydrogenase (ubiquinone) Fe-S protein 6, NADH dehydrogenase (ubiquinone) Fe-S protein 7 [EC:7.1.1.2], NADH dehydrogenase (ubiquinone) Fe-S protein 8 [EC:7.1.1.2], NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:7.1.1.2], NADH dehydrogenase (ubiquinone) flavoprotein 2 [EC:7.1.1.2]","Ubiquinone + NADH + H+ + 4 H+ <=> Ubiquinol + NAD+ + 4 H+","Bidirectional","7.1.1.2","K03934, K03935, K03936, K03937, K03938, K03939, K03940, K03941, K03942, K03943","R11945","NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS5, NDUFS6, NDUFS7, NDUFS8, NDUFV1, NDUFV2","map00190","M00143"
"NADH-dependent fumarate reductase subunit A [EC:1.3.1.6], NADH-dependent fumarate reductase subunit B [EC:1.3.1.6], NADH-dependent fumarate reductase subunit C, NADH-dependent fumarate reductase subunit D, NADH-dependent fumarate reductase subunit E","Succinate + NAD+ <=> Fumarate + NADH + H+","Bidirectional","1.3.1.6","K18556, K18557, K18558, K18559, K18560","R00402","frdA, frdB, frdC, frdD, frdE","map00720","M00173"
"NADH-quinone oxidoreductase subunit A [EC:7.1.1.2], NADH-quinone oxidoreductase subunit B [EC:7.1.1.2], NADH-quinone oxidoreductase subunit C [EC:7.1.1.2], NADH-quinone oxidoreductase subunit D [EC:7.1.1.2], NADH-quinone oxidoreductase subunit E [EC:7.1.1.2], NADH-quinone oxidoreductase subunit F [EC:7.1.1.2], NADH-quinone oxidoreductase subunit G [EC:7.1.1.2], NADH-quinone oxidoreductase subunit H [EC:7.1.1.2], NADH-quinone oxidoreductase subunit I [EC:7.1.1.2], NADH-quinone oxidoreductase subunit J [EC:7.1.1.2], NADH-quinone oxidoreductase subunit K [EC:7.1.1.2], NADH-quinone oxidoreductase subunit L [EC:7.1.1.2], NADH-quinone oxidoreductase subunit M [EC:7.1.1.2], NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]","Ubiquinone + NADH + H+ + 4 H+ <=> Ubiquinol + NAD+ + 4 H+","Bidirectional","7.1.1.2","K00330, K00331, K00332, K00333, K00334, K00335, K00336, K00337, K00338, K00339, K00340, K00341, K00342, K00343","R11945","nuoA, nuoB, nuoC, nuoD, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN","map00190","M00144"
"NADH-quinone oxidoreductase subunit A [EC:7.1.1.2], NADH-quinone oxidoreductase subunit B [EC:7.1.1.2], NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2], NADH-quinone oxidoreductase subunit E [EC:7.1.1.2], NADH-quinone oxidoreductase subunit F [EC:7.1.1.2], NADH-quinone oxidoreductase subunit G [EC:7.1.1.2], NADH-quinone oxidoreductase subunit H [EC:7.1.1.2], NADH-quinone oxidoreductase subunit I [EC:7.1.1.2], NADH-quinone oxidoreductase subunit J [EC:7.1.1.2], NADH-quinone oxidoreductase subunit K [EC:7.1.1.2], NADH-quinone oxidoreductase subunit L [EC:7.1.1.2], NADH-quinone oxidoreductase subunit M [EC:7.1.1.2], NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]","Ubiquinone + NADH + H+ + 4 H+ <=> Ubiquinol + NAD+ + 4 H+","Bidirectional","7.1.1.2","K00330, K00331, K13378, K00334, K00335, K00336, K00337, K00338, K00339, K00340, K00341, K00342, K00343","R11945","nuoA, nuoB, nuoCD, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN","map00190","M00144"
"NADH-quinone oxidoreductase subunit A [EC:7.1.1.2], NADH-quinone oxidoreductase subunit B/C/D [EC:7.1.1.2], NADH-quinone oxidoreductase subunit E [EC:7.1.1.2], NADH-quinone oxidoreductase subunit F [EC:7.1.1.2], NADH-quinone oxidoreductase subunit G [EC:7.1.1.2], NADH-quinone oxidoreductase subunit H [EC:7.1.1.2], NADH-quinone oxidoreductase subunit I [EC:7.1.1.2], NADH-quinone oxidoreductase subunit J [EC:7.1.1.2], NADH-quinone oxidoreductase subunit K [EC:7.1.1.2], NADH-quinone oxidoreductase subunit L [EC:7.1.1.2], NADH-quinone oxidoreductase subunit M [EC:7.1.1.2], NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]","Ubiquinone + NADH + H+ + 4 H+ <=> Ubiquinol + NAD+ + 4 H+","Bidirectional","7.1.1.2","K00330, K13380, K00334, K00335, K00336, K00337, K00338, K00339, K00340, K00341, K00342, K00343","R11945","nuoA, nuoBCD, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN","map00190","M00144"
"NADH-ubiquinone oxidoreductase chain 1 [EC:7.1.1.2], NADH-ubiquinone oxidoreductase chain 2 [EC:7.1.1.2], NADH-ubiquinone oxidoreductase chain 3 [EC:7.1.1.2], NADH-ubiquinone oxidoreductase chain 4 [EC:7.1.1.2], NADH-ubiquinone oxidoreductase chain 4L [EC:7.1.1.2], NADH-ubiquinone oxidoreductase chain 5 [EC:7.1.1.2], NADH-ubiquinone oxidoreductase chain 6 [EC:7.1.1.2]","Ubiquinone + NADH + H+ + 4 H+ <=> Ubiquinol + NAD+ + 4 H+","Bidirectional","7.1.1.2","K03878, K03879, K03880, K03881, K03882, K03883, K03884","R11945","ND1, ND2, ND3, ND4, ND4L, ND5, ND6","map00190","M00142"
"NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]","NADH + H+ + Quinone <=> NAD+ + Hydroquinone","Bidirectional","1.6.5.9","K03885","R07358","ndh","NA",NA
"NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]","NADH + H+ + Quinone <=> NAD+ + Hydroquinone","Bidirectional","1.6.5.9","K23948","R07358","E1.6.5.9","NA",NA
"NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]","Ubiquinol + NAD+ <=> Ubiquinone + NADH + H+","Bidirectional","1.6.5.9","K03885","R02163","ndh","NA",NA
"NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]","Ubiquinol + NAD+ <=> Ubiquinone + NADH + H+","Bidirectional","1.6.5.9","K23948","R02163","E1.6.5.9","NA",NA
"NADP-dependent alcohol dehydrogenase [EC:1.1.-.-]","Methylglyoxal + NADPH + H+ <=> Hydroxyacetone + NADP+","Bidirectional",NA,"K08325","R02528","yqhD","map00640",NA
"NADP-reducing hydrogenase subunit HndB [EC:1.12.1.3], NADP-reducing hydrogenase subunit HndA [EC:1.12.1.3], NADP-reducing hydrogenase subunit HndC [EC:1.12.1.3], NADP-reducing hydrogenase subunit HndD [EC:1.12.1.3]","Hydrogen + NADP+ <=> NADPH + H+","Bidirectional","1.12.1.3","K17992, K18330, K18331, K18332","R07181","hndB, hndA, hndC, hndD","NA",NA
"NADPH-dependent methylglyoxal reductase [EC:1.1.1.283]","(S)-Lactaldehyde + NADP+ <=> Methylglyoxal + NADPH + H+","Bidirectional","1.1.1.283, 1.2.1.49","K17741","R02260","GRE2","map00620, map00640",NA
"Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:7.2.1.1], Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:7.2.1.1], Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:7.2.1.1], Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:7.2.1.1], Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:7.2.1.1], Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:7.2.1.1]","NADH + H+ + Ubiquinone + Na+[side 1] <=> NAD+ + Ubiquinol + Na+[side 2]","Bidirectional","7.2.1.1","K00346, K00347, K00348, K00349, K00350, K00351","R7.2.1.1","nqrA, nqrB, nqrC, nqrD, nqrE, nqrF","NA",NA
"O-acetylhomoserine/O-acetylserine sulfhydrylase [EC:2.5.1.49 2.5.1.47]","O-Acetyl-L-serine + Hydrogen sulfide <=> L-Cysteine + Acetate","Bidirectional","2.5.1.47, 2.5.1.65","K17069","R00897","MET17","map00920","M00021"
"O-succinylhomoserine sulfhydrylase [EC:2.5.1.-]","O-Succinyl-L-homoserine + Hydrogen sulfide <=> L-Homocysteine + Succinate","Bidirectional","2.5.1.48","K10764","R01288","metZ","map00920",NA
"S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]","Ethanol + NAD+ <=> Acetaldehyde + NADH + H+","Bidirectional","1.1.1.1, 1.1.1.71","K00121","R00754","frmA","map00010, map00620",NA
"S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]","S-(Hydroxymethyl)glutathione + NAD+ <=> S-Formylglutathione + NADH + H+","Bidirectional","1.1.1.284","K00121","R06983","frmA","map00680",NA
"S-(hydroxymethyl)glutathione synthase [EC:4.4.1.22]","Glutathione + Formaldehyde <=> S-(Hydroxymethyl)glutathione","Bidirectional","4.4.1.22","K03396","R06982","gfa","map00680",NA
"S-formylglutathione hydrolase [EC:3.1.2.12]","S-Formylglutathione + H2O <=> Formate + Glutathione","Bidirectional","3.1.2.12","K01070","R00527","frmB","map00680",NA
"S-sulfosulfanyl-L-cysteine sulfohydrolase [EC:3.1.6.20], sulfur-oxidizing protein SoxY, sulfur-oxidizing protein SoxZ","[SoxY protein]-S-(2-sulfodisulfanyl)-L-cysteine + H2O <=> [SoxY protein]-S-disulfanyl-L-cysteine + Sulfate","Bidirectional","3.1.6.20","K17224, K17226, K17227","R12097","soxB, soxY, soxZ","NA",NA
"S-sulfosulfanyl-L-cysteine sulfohydrolase [EC:3.1.6.20], sulfur-oxidizing protein SoxY, sulfur-oxidizing protein SoxZ","[SoxY protein]-S-sulfosulfanyl-L-cysteine + H2O <=> [SoxY protein]-S-sulfanyl-L-cysteine + Sulfate","Bidirectional","3.1.6.20","K17224, K17226, K17227","R12096","soxB, soxY, soxZ","NA",NA
"UDP-galactopyranose mutase [EC:5.4.99.9]","UDP-alpha-D-galactose <=> UDP-alpha-D-galactofuranose","Bidirectional","5.4.99.9","K01854","R00505","glf","map00052","M01004"
"UDP-galactopyranose mutase [EC:5.4.99.9]","UDP-alpha-D-galactose <=> UDP-alpha-D-galactofuranose","Bidirectional","5.4.99.9","K28214","R00505","UGM","map00052","M01004"
"UDP-glucose 4-epimerase [EC:5.1.3.2]","UDP-glucose <=> UDP-alpha-D-galactose","Bidirectional","5.1.3.2","K01784","R00291","galE","map00052","M00632, M01004"
"UDP-glucose 4-epimerase [EC:5.1.3.2]","UDP-glucose <=> UDP-alpha-D-galactose","Bidirectional","5.1.3.2","K17716","R00291","capD","map00052",NA
"UDP-glucuronate 4-epimerase [EC:5.1.3.6]","UDP-glucuronate <=> UDP-D-galacturonate","Bidirectional","5.1.3.6","K08679","R01385","GAE","map00053","M00999"
"UDP-sugar pyrophosphorylase [EC:2.7.7.64]","UTP + D-Glucose 1-phosphate <=> Diphosphate + UDP-glucose","Bidirectional","2.7.7.9, 2.7.7.64","K12447","R00289","USP","map00040, map00052, map00500",NA
"UDP-sugar pyrophosphorylase [EC:2.7.7.64]","UTP + D-Glucuronate 1-phosphate <=> Diphosphate + UDP-glucuronate","Bidirectional","2.7.7.44, 2.7.7.64","K12447","R01381","USP","map00040, map00053","M00014, M00994, M00994"
"UDP-sugar pyrophosphorylase [EC:2.7.7.64]","UTP + alpha-D-Galactose 1-phosphate <=> Diphosphate + UDP-alpha-D-galactose","Bidirectional","2.7.7.10, 2.7.7.64","K12447","R00502","USP","map00052",NA
"UDPglucose 6-dehydrogenase [EC:1.1.1.22]","UDP-glucose + H2O + 2 NAD+ <=> UDP-glucuronate + 2 NADH + 2 H+","Bidirectional","1.1.1.22","K00012","R00286","UGDH","map00040, map00053","M00014, M00129, M00129, M00999"
"UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]","UDP-glucose + alpha-D-Galactose 1-phosphate <=> D-Glucose 1-phosphate + UDP-alpha-D-galactose","Bidirectional","2.7.7.12","K00965","R00955","galT","map00052","M00554, M00632"
"UTP---glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]","UTP + D-Glucose 1-phosphate <=> Diphosphate + UDP-glucose","Bidirectional","2.7.7.9, 2.7.7.64","K22920","R00289","UGP3","map00040, map00052, map00500",NA
"UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]","UTP + D-Glucose 1-phosphate <=> Diphosphate + UDP-glucose","Bidirectional","2.7.7.9, 2.7.7.64","K00963","R00289","UGP2","map00040, map00052, map00500",NA
"V-type H+-transporting ATPase subunit A [EC:7.1.2.2], V-type H+-transporting ATPase subunit B, V-type H+-transporting ATPase subunit C, V-type H+-transporting ATPase subunit D, V-type H+-transporting ATPase subunit E, V-type H+-transporting ATPase subunit F, V-type H+-transporting ATPase subunit G, V-type H+-transporting ATPase subunit H, V-type H+-transporting ATPase subunit a, V-type H+-transporting ATPase 16kDa proteolipid subunit, V-type H+-transporting ATPase subunit d, V-type H+-transporting ATPase subunit e, V-type H+-transporting ATPase S1 subunit","ATP + H2O + 4 H+[side 1] <=> ADP + Orthophosphate + 4 H+[side 2]","Bidirectional","7.1.2.2","K02145, K02147, K02148, K02149, K02150, K02151, K02152, K02144, K02154, K02155, K02146, K02153, K03662","R7.1.2.2","ATPeV1A, ATPeV1B, ATPeV1C, ATPeV1D, ATPeV1E, ATPeV1F, ATPeV1G, ATPeV1H, ATPeV0A, ATPeV0C, ATPeV0D, ATPeV0E, ATPeVS1","map00190","M00160"
"V-type H+-transporting ATPase subunit A [EC:7.1.2.2], V-type H+-transporting ATPase subunit B, V-type H+-transporting ATPase subunit C, V-type H+-transporting ATPase subunit D, V-type H+-transporting ATPase subunit E, V-type H+-transporting ATPase subunit F, V-type H+-transporting ATPase subunit G, V-type H+-transporting ATPase subunit H, V-type H+-transporting ATPase subunit a, V-type H+-transporting ATPase 21kDa proteolipid subunit, V-type H+-transporting ATPase subunit d, V-type H+-transporting ATPase subunit e, V-type H+-transporting ATPase S1 subunit","ATP + H2O + 4 H+[side 1] <=> ADP + Orthophosphate + 4 H+[side 2]","Bidirectional","7.1.2.2","K02145, K02147, K02148, K02149, K02150, K02151, K02152, K02144, K02154, K03661, K02146, K02153, K03662","R7.1.2.2","ATPeV1A, ATPeV1B, ATPeV1C, ATPeV1D, ATPeV1E, ATPeV1F, ATPeV1G, ATPeV1H, ATPeV0A, ATPeV0B, ATPeV0D, ATPeV0E, ATPeVS1","map00190","M00160"
"[2Fe-2S]-ferredoxin:NAD+ oxidoreductase","2 Reduced ferredoxin + NAD+ + H+ <=> 2 Oxidized ferredoxin + NADH","Bidirectional","1.18.1.3, 1.18.1.7",NA,"R05875",NA,"NA",NA
"[DsrC]-trisulfide reductase subunit M [EC:1.8.5.10], [DsrC]-trisulfide reductase subunit K [EC:1.8.5.10], [DsrC]-trisulfide reductase subunit J, [DsrC]-trisulfide reductase subunit O, [DsrC]-trisulfide reductase subunit P","Hydrogen sulfide + Protein dithiol + 2 NAD+ <=> Protein-trisulfide + 2 NADH + 2 H+","Bidirectional","1.8.5.10.A","K27187, K27188, K27189, K27190, K27191","R1.8.5.10.A","dsrM, dsrK, dsrJ, dsrO, dsrP","map00920","M00596"
"[DsrC]-trisulfide reductase subunit M [EC:1.8.5.10], [DsrC]-trisulfide reductase subunit K [EC:1.8.5.10], [DsrC]-trisulfide reductase subunit J, [DsrC]-trisulfide reductase subunit O, [DsrC]-trisulfide reductase subunit P","Hydrogen sulfide + Protein dithiol + 4 Oxidized ferredoxin <=> Protein-trisulfide + 4 Reduced ferredoxin + 4 H+","Bidirectional","1.8.5.10.B","K27187, K27188, K27189, K27190, K27191","R1.8.5.10.B","dsrM, dsrK, dsrJ, dsrO, dsrP","map00920","M00596"
"[NiFe] hydrogenase diaphorase moiety large subunit [EC:1.12.1.2], [NiFe] hydrogenase diaphorase moiety small subunit [EC:1.12.1.2]","Hydrogen + NAD+ <=> NADH + H+","Bidirectional","1.12.1.2","K18005, K18006","R00700","hoxF, hoxU","NA",NA
"[NiFe] hydrogenase large subunit [EC:1.12.2.1], [NiFe] hydrogenase small subunit [EC:1.12.2.1]","2 Ferricytochrome c + Hydrogen <=> 2 Ferrocytochrome c + 2 H+","Bidirectional","1.12.2.1","K00437, K18008","R04015","hydB, hydA","NA",NA
"[SoxY protein]-S-disulfanyl-L-cysteine:cytochrome-c oxidoreductase, sulfur-oxidizing protein SoxY, sulfur-oxidizing protein SoxZ","[SoxY protein]-S-disulfanyl-L-cysteine + 6 Ferricytochrome c + 3 H2O <=> [SoxY protein]-S-sulfosulfanyl-L-cysteine + 6 Ferrocytochrome c + 6 H+","Bidirectional","1.8.2.6","K17226, K17227","R11971","soxY, soxZ","NA",NA
"[methyl-Co(III) glycine betaine-specific corrinoid protein]---tetrahydrofolate methyltransferase [EC:2.1.1.378]","5-Methyltetrahydrofolate + Co(I) corrinoid protein + H+ <=> Methyl-Co(III) corrinoid protein + Tetrahydrofolate","Bidirectional","2.1.1.258, 2.1.1.378, 2.1.1.385, 2.1.1.389","K25221","R02289","mtgA","map00720",NA
"[methyl-Co(III) methanol/glycine betaine-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.246 2.1.1.377], methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase [EC:2.1.1.90], methanol corrinoid protein","Methanol + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + H2O","Bidirectional","2.1.1.90, 2.1.1.246","K14080, K04480, K14081","R09098","mtaA, mtaB, mtaC","map00680","M00356"
"[methyl-Co(III) methoxylated-aromatic-compound-specific corrinoid protein]---tetrahydrofolate methyltransferase [EC:2.1.1.385]","5-Methyltetrahydrofolate + Co(I) corrinoid protein + H+ <=> Methyl-Co(III) corrinoid protein + Tetrahydrofolate","Bidirectional","2.1.1.258, 2.1.1.378, 2.1.1.385, 2.1.1.389","K25915","R02289","mtvA","map00720",NA
"[methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.247]","Dimethylamine + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + Methylamine","Bidirectional","2.1.1.247, 2.1.1.249","K14082","R09999","mtbA","map00680","M00563"
"[methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.247]","Methylamine + Coenzyme M <=> Ammonia + 2-(Methylthio)ethanesulfonate","Bidirectional","2.1.1.247, 2.1.1.248","K14082","R09998","mtbA","map00680","M00563"
"[methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.247]","Trimethylamine + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + Dimethylamine","Bidirectional","2.1.1.247, 2.1.1.250","K14082","R09124","mtbA","map00680","M00563"
"[methyl-Co(III) quaternary-amine-specific corrinoid protein]---tetrahydrofolate methyltransferase [EC:2.1.1.389]","5-Methyltetrahydrofolate + Co(I) corrinoid protein + H+ <=> Methyl-Co(III) corrinoid protein + Tetrahydrofolate","Bidirectional","2.1.1.258, 2.1.1.378, 2.1.1.385, 2.1.1.389","K26930","R02289","mtqA","map00720",NA
"acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]","Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+","Bidirectional","1.2.1.10","K00132","R00228","E1.2.1.10","map00620",NA
"acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]","Butanal + CoA + NAD+ <=> Butanoyl-CoA + NADH + H+","Bidirectional","1.2.1.10, 1.2.1.57, 1.2.1.87","K00132","R01172","E1.2.1.10","map00650",NA
"acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]","Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+","Bidirectional","1.2.1.10","K04072","R00228","adhE","map00620",NA
"acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]","Butanal + CoA + NAD+ <=> Butanoyl-CoA + NADH + H+","Bidirectional","1.2.1.10, 1.2.1.57, 1.2.1.87","K04072","R01172","adhE","map00650",NA
"acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]","Ethanol + NAD+ <=> Acetaldehyde + NADH + H+","Bidirectional","1.1.1.1, 1.1.1.71","K04072","R00754","adhE","map00010, map00620",NA
"acetaldehyde dehydrogenase [EC:1.2.1.10]","Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+","Bidirectional","1.2.1.10","K04073","R00228","mhpF","map00620",NA
"acetaldehyde dehydrogenase [EC:1.2.1.10]","Butanal + CoA + NAD+ <=> Butanoyl-CoA + NADH + H+","Bidirectional","1.2.1.10, 1.2.1.57, 1.2.1.87","K04073","R01172","mhpF","map00650",NA
"acetaldehyde/propanal dehydrogenase [EC:1.2.1.10 1.2.1.87]","Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+","Bidirectional","1.2.1.10","K18366","R00228","bphJ","map00620",NA
"acetaldehyde/propanal dehydrogenase [EC:1.2.1.10 1.2.1.87]","Butanal + CoA + NAD+ <=> Butanoyl-CoA + NADH + H+","Bidirectional","1.2.1.10, 1.2.1.57, 1.2.1.87","K18366","R01172","bphJ","map00650",NA
"acetaldehyde/propanal dehydrogenase [EC:1.2.1.10 1.2.1.87]","Propanal + NAD+ + CoA <=> Propanoyl-CoA + NADH + H+","Bidirectional","1.2.1.87","K18366","R09097","bphJ","map00640",NA
"acetate CoA-transferase [EC:2.8.3.8]","Acetoacetyl-CoA + Acetate <=> Acetoacetate + Acetyl-CoA","Bidirectional","2.8.3.8","K19709","R01359","ydiF","map00650",NA
"acetate CoA-transferase [EC:2.8.3.8]","Butanoyl-CoA + Acetate <=> Butanoic acid + Acetyl-CoA","Bidirectional","2.8.3.8","K19709","R01179","ydiF","map00650",NA
"acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9], acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.8 2.8.3.9]","Acetoacetyl-CoA + Acetate <=> Acetoacetate + Acetyl-CoA","Bidirectional","2.8.3.8","K01034, K01035","R01359","atoD, atoA","map00650",NA
"acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9], acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.8 2.8.3.9]","Butanoyl-CoA + Acetate <=> Butanoic acid + Acetyl-CoA","Bidirectional","2.8.3.8","K01034, K01035","R01179","atoD, atoA","map00650",NA
"acetate kinase [EC:2.7.2.1]","ATP + Acetate <=> ADP + Acetyl phosphate","Bidirectional","2.7.2.1, 2.7.2.15","K00925","R00315","ackA","map00620, map00680, map00720","M00579, M00357"
"acetate kinase [EC:2.7.2.1]","ATP + Propanoate <=> ADP + Propanoyl phosphate","Bidirectional","2.7.2.1, 2.7.2.15","K00925","R01353","ackA","map00640",NA
"acetate---CoA ligase (ADP-forming) [EC:6.2.1.13]","ATP + Acetate + CoA <=> ADP + Acetyl-CoA + Orthophosphate","Bidirectional","6.2.1.13","K24012","R00229","acdAB","map00010, map00620",NA
"acetate---CoA ligase (ADP-forming) [EC:6.2.1.13]","ATP + Propanoate + CoA <=> ADP + Orthophosphate + Propanoyl-CoA","Bidirectional","6.2.1.13","K24012","R00920","acdAB","map00640",NA
"acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13], acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]","ATP + Acetate + CoA <=> ADP + Acetyl-CoA + Orthophosphate","Bidirectional","6.2.1.13","K01905, K22224","R00229","acdA, acdB","map00010, map00620",NA
"acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13], acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]","ATP + Propanoate + CoA <=> ADP + Orthophosphate + Propanoyl-CoA","Bidirectional","6.2.1.13","K01905, K22224","R00920","acdA, acdB","map00640",NA
"acetate/butyrate---CoA ligase [EC:6.2.1.1 6.2.1.2]","ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA","Bidirectional","6.2.1.1","K01913","R00235","AAE7","map00010, map00630, map00680, map00720",NA
"acetate/butyrate---CoA ligase [EC:6.2.1.1 6.2.1.2]","ATP + Acetate <=> Diphosphate + Acetyl adenylate","Bidirectional","6.2.1.1","K01913","R00316","AAE7","map00620",NA
"acetate/butyrate---CoA ligase [EC:6.2.1.1 6.2.1.2]","ATP + Butanoic acid + CoA <=> AMP + Diphosphate + Butanoyl-CoA","Bidirectional","6.2.1.2","K01913","R01176","AAE7","map00650",NA
"acetate/butyrate---CoA ligase [EC:6.2.1.1 6.2.1.2]","Acetyl adenylate + CoA <=> AMP + Acetyl-CoA","Bidirectional","6.2.1.1","K01913","R00236","AAE7","map00620",NA
"acetoacetate decarboxylase [EC:4.1.1.4]","Acetoacetate <=> Acetone + CO2","Bidirectional","4.1.1.4","K01574","R01366","adc","map00650",NA
"acetoacetyl-CoA reductase [EC:1.1.1.36]","(R)-3-Hydroxybutanoyl-CoA + NADP+ <=> Acetoacetyl-CoA + NADPH + H+","Bidirectional","1.1.1.36","K00023","R01977","phbB","map00630, map00650",NA
"acetoacetyl-CoA synthetase [EC:6.2.1.16]","ATP + Acetoacetate + CoA <=> AMP + Diphosphate + Acetoacetyl-CoA","Bidirectional","6.2.1.16","K01907","R01357","AACS","map00650",NA
"acetolactate decarboxylase [EC:4.1.1.5]","(S)-2-Acetolactate <=> (R)-Acetoin + CO2","Bidirectional","4.1.1.5","K01575","R02948","alsD","map00650",NA
"acetolactate synthase I/II/III large subunit [EC:2.2.1.6], acetolactate synthase I/III small subunit [EC:2.2.1.6]","(S)-2-Acetolactate + CO2 <=> 2 Pyruvate","Bidirectional","2.2.1.6","K01652, K01653","R00226","E2.2.1.6L, E2.2.1.6S","map00650",NA
"acetolactate synthase I/II/III large subunit [EC:2.2.1.6], acetolactate synthase I/III small subunit [EC:2.2.1.6]","Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2","Bidirectional","1.2.4.1, 2.2.1.6, 4.1.1.1","K01652, K01653","R00014","E2.2.1.6L, E2.2.1.6S","map00010, map00020, map00620","NA"
"acetolactate synthase II small subunit [EC:2.2.1.6]","(S)-2-Acetolactate + CO2 <=> 2 Pyruvate","Bidirectional","2.2.1.6","K11258","R00226","ilvM","map00650",NA
"acetolactate synthase II small subunit [EC:2.2.1.6], acetolactate synthase I/II/III large subunit [EC:2.2.1.6]","Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2","Bidirectional","1.2.4.1, 2.2.1.6, 4.1.1.1","K01652, K11258","R00014","ilvM, E2.2.1.6L","map00010, map00020, map00620","NA"
"acetone monooxygenase (methyl acetate-forming) [EC:1.14.13.226]","Acetone + NADPH + H+ + Oxygen <=> Methyl acetate + NADP+ + H2O","Bidirectional","1.14.13.226","K18371","R10704","acmA","map00650",NA
"acetyl-CoA C-acetyltransferase [EC:2.3.1.9]","2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA","Bidirectional","2.3.1.9, 2.3.1.16","K00626","R00238","ACAT","map00620, map00630, map00650, map00720",NA
