abbreviation,equation,direction,officialName,geneAssociation,subsystem,reaction_ID,Enzyme,Genes
"succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1 7.1.1.12], succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1], succinate dehydrogenase subunit C, succinate dehydrogenase subunit D",Quinone + Succinate <=> Hydroquinone + Fumarate,Bidirectional,1.3.5.1,"K00233, K00245, K00246, K00247",None,R02164,"frdA, frdB, frdC, frdD","frdA, frdB, frdC, frdD"
"succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1 7.1.1.12], succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1], succinate dehydrogenase subunit D, succinate dehydrogenase subunit C",Quinone + Succinate <=> Hydroquinone + Fumarate,Bidirectional,1.3.5.1,"K00233, K00245, K00247, K25996",None,R02164,"frdA, frdB, frdD, frdC","frdA, frdB, frdD, frdC"
"succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1 7.1.1.12], succinate dehydrogenase subunit C, succinate dehydrogenase subunit D, succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1 7.1.1.12]",Quinone + Succinate <=> Hydroquinone + Fumarate,Bidirectional,1.3.5.1,"K00233, K00246, K00247, K25995",None,R02164,"frdA, frdC, frdD, frdB","frdA, frdC, frdD, frdB"
"succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1 7.1.1.12], succinate dehydrogenase subunit D, succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1 7.1.1.12], succinate dehydrogenase subunit C",Quinone + Succinate <=> Hydroquinone + Fumarate,Bidirectional,1.3.5.1,"K00233, K00247, K25995, K25996",None,R02164,"frdA, frdD, frdB, frdC","frdA, frdD, frdB, frdC"
"succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1], succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1], succinate dehydrogenase (ubiquinone) cytochrome b560 subunit, succinate dehydrogenase (ubiquinone) membrane anchor subunit, succinate dehydrogenase (ubiquinone) subunit 4",Quinone + Succinate <=> Hydroquinone + Fumarate,Bidirectional,1.3.5.1,"K00234, K00235, K00236, K00237, K25801",None,R02164,"SDHA, SDHB, SDHC, SDHD, SDH4","SDHA, SDHB, SDHC, SDHD, SDH4"
"succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1], succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1], succinate dehydrogenase cytochrome b subunit, succinate dehydrogenase membrane anchor subunit, succinate dehydrogenase subunit D",Quinone + Succinate <=> Hydroquinone + Fumarate,Bidirectional,1.3.5.1,"K00239, K00240, K00241, K00242, K18859",None,R02164,"sdhA, sdhB, sdhC, sdhD","sdhA, sdhB, sdhC, sdhD"
"succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1], succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1], succinate dehydrogenase cytochrome b subunit, succinate dehydrogenase membrane anchor subunit, succinate dehydrogenase subunit D",Quinone + Succinate <=> Hydroquinone + Fumarate,Bidirectional,1.3.5.1,"K00239, K00240, K00241, K00242, K18860",None,R02164,"sdhA, sdhB, sdhC, sdhD","sdhA, sdhB, sdhC, sdhD"
"succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1], succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1], succinate dehydrogenase subunit C, succinate dehydrogenase subunit D",Quinone + Succinate <=> Hydroquinone + Fumarate,Bidirectional,1.3.5.1,"K00244, K00245, K00246, K00247",None,R02164,"frdA, frdB, frdC, frdD","frdA, frdB, frdC, frdD"
"succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1], succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1], succinate dehydrogenase subunit D, succinate dehydrogenase subunit C",Quinone + Succinate <=> Hydroquinone + Fumarate,Bidirectional,1.3.5.1,"K00244, K00245, K00247, K25996",None,R02164,"frdA, frdB, frdD, frdC","frdA, frdB, frdD, frdC"
"succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1], succinate dehydrogenase subunit C, succinate dehydrogenase subunit D, succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1 7.1.1.12]",Quinone + Succinate <=> Hydroquinone + Fumarate,Bidirectional,1.3.5.1,"K00244, K00246, K00247, K25995",None,R02164,"frdA, frdC, frdD, frdB","frdA, frdC, frdD, frdB"
"succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1], succinate dehydrogenase subunit D, succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1 7.1.1.12], succinate dehydrogenase subunit C",Quinone + Succinate <=> Hydroquinone + Fumarate,Bidirectional,1.3.5.1,"K00244, K00247, K25995, K25996",None,R02164,"frdA, frdD, frdB, frdC","frdA, frdD, frdB, frdC"
NADPH-dependent methylglyoxal reductase [EC:1.1.1.283],(S)-Lactaldehyde + NADP+ <=> Methylglyoxal + NADPH + H+,Bidirectional,"1.1.1.283, 1.2.1.49",K17741,None,R02260,GRE2,GRE2
methylglyoxal/glyoxal reductase [EC:1.1.1.283 1.1.1.-],(S)-Lactaldehyde + NADP+ <=> Methylglyoxal + NADPH + H+,Bidirectional,"1.1.1.283, 1.2.1.49",K23257,None,R02260,yvgN,yvgN
pyruvate kinase [EC:2.7.1.40],Nucleoside triphosphate + Pyruvate <=> NDP + Phosphoenolpyruvate,Bidirectional,2.7.1.40,K00873,None,R02320,PK,PK
pyruvate kinase isozymes R/L [EC:2.7.1.40],Nucleoside triphosphate + Pyruvate <=> NDP + Phosphoenolpyruvate,Bidirectional,2.7.1.40,K12406,None,R02320,PKLR,PKLR
glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],(R)-Lactaldehyde + NAD+ <=> Methylglyoxal + NADH + H+,Bidirectional,"1.1.1.78, 1.1.1.79",K00049,None,R02527,GRHPR,GRHPR
glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81],(R)-Lactaldehyde + NAD+ <=> Methylglyoxal + NADH + H+,Bidirectional,"1.1.1.78, 1.1.1.79",K12972,None,R02527,ghrA,ghrA
lactoylglutathione lyase [EC:4.4.1.5],(R)-S-Lactoylglutathione <=> Glutathione + Methylglyoxal,Bidirectional,4.4.1.5,K01759,None,R02530,GLO1,GLO1
pyruvate dehydrogenase (quinone) [EC:1.2.5.1],Pyruvate + Ubiquinone + H2O <=> Acetate + Ubiquinol + CO2,Bidirectional,1.2.5.1,K00156,None,R03145,poxB,poxB
alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8],Ethanol + 2 Ferricytochrome c <=> 2 Ferrocytochrome c + Acetaldehyde + 2 H+,Bidirectional,1.1.2.8,K00114,None,R05198,exaA,exaA
"methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7], methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]",Ethanol + 2 Ferricytochrome cL <=> Acetaldehyde + 2 Ferrocytochrome cL + 2 H+,Bidirectional,1.1.2.7,"K14028, K14029",None,R09127,"mdh1, mdh2","mdh1, mdh2"
"alcohol dehydrogenase (quinone), dehydrogenase subunit [EC:1.1.5.5], alcohol dehydrogenase (quinone), cytochrome c subunit [EC:1.1.5.5]",Ethanol + Ubiquinone <=> Acetaldehyde + Ubiquinol,Bidirectional,1.1.5.5,"K22473, K22474",None,R09479,"adhA, adhB","adhA, adhB"
D-lactate dehydratase / protein deglycase [EC:4.2.1.130 3.5.1.124],(R)-Lactate <=> Methylglyoxal + H2O,Bidirectional,4.2.1.130,K05523,None,R09796,hchA,hchA
D-lactate dehydratase [EC:4.2.1.130],(R)-Lactate <=> Methylglyoxal + H2O,Bidirectional,4.2.1.130,K18881,None,R09796,DJ1D,DJ1D
D-lactate dehydratase [EC:4.2.1.130],(R)-Lactate <=> Methylglyoxal + H2O,Bidirectional,4.2.1.130,K22211,None,R09796,GLX3,GLX3
succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18],Succinyl-CoA + Acetate <=> Acetyl-CoA + Succinate,Bidirectional,2.8.3.18,K18118,None,R10343,aarC,aarC
malolactic enzyme [EC:4.1.1.101],(S)-Malate <=> (S)-Lactate + CO2,Bidirectional,4.1.1.101,K22212,None,R11074,mleA,mleA
D-lactate dehydrogenase (quinone) [EC:1.1.5.12],(R)-Lactate + Quinone <=> Pyruvate + Hydroquinone,Bidirectional,1.1.5.12,K03777,None,R11591,dld,dld
(R)-2-hydroxyglutarate---pyruvate transhydrogenase [EC:1.1.99.40],Pyruvate + (R)-2-Hydroxyglutarate <=> (R)-Lactate + 2-Oxoglutarate,Bidirectional,1.1.99.40,K21618,None,R11593,DLD3,DLD3
"oxaloacetate decarboxylase (Na+ extruding) subunit alpha [EC:7.2.4.2], oxaloacetate decarboxylase (Na+ extruding) subunit gamma",Oxaloacetate + 2 Sodium cation <=> Pyruvate + CO2 + 2 Sodium cation,Bidirectional,7.2.4.2,"K01571, K01573",None,R12212,"oadA, oadG","oadA, oadG"
carboxybiotin decarboxylase [EC:7.2.4.1],Oxaloacetate + 2 Sodium cation <=> Pyruvate + CO2 + 2 Sodium cation,Bidirectional,7.2.4.2,K20509,None,R12212,madB,madB
"lactate dehydrogenase (NAD+,ferredoxin) subunit LctD [EC:1.1.1.436], lactate dehydrogenase (NAD+,ferredoxin) subunit LctC, lactate dehydrogenase (NAD+,ferredoxin) subunit LctB",(R)-Lactate + 2 NAD+ + 2 Reduced ferredoxin <=> Pyruvate + 2 NADH + 2 Oxidized ferredoxin,Bidirectional,1.1.1.436,"K26113, K26114, K26115",None,R13049,"lctD, lctC, lctB","lctD, lctC, lctB"
"lactate dehydrogenase (NAD+,ferredoxin) subunit LctD [EC:1.1.1.436], lactate dehydrogenase (NAD+,ferredoxin) subunit LctC, lactate dehydrogenase (NAD+,ferredoxin) subunit LctB",(S)-Lactate + 2 NAD+ + 2 Reduced ferredoxin <=> Pyruvate + 2 NADH + 2 Oxidized ferredoxin,Bidirectional,1.1.1.436,"K26113, K26114, K26115",None,R13050,"lctD, lctC, lctB","lctD, lctC, lctB"
fumarate reductase (cytochrome) [EC:1.3.2.4],Succinate + 2 Ferricytochrome c <=> Fumarate + 2 Ferrocytochrome c,Bidirectional,1.3.2.4,K26318,None,R13137,fccA,fccA
thiosulfate dehydrogenase [EC:1.8.2.2],2 Thiosulfate + 2 Ferricytochrome c <=> Tetrathionate + 2 Ferrocytochrome c,Bidirectional,1.8.2.2,K19713,M00984,R00029,tsdA,tsdA
"dissimilatory sulfite reductase alpha subunit [EC:1.8.1.22], dissimilatory sulfite reductase beta subunit [EC:1.8.1.22]",Trithionate + HO- + NAD+ + 2 H2O <=> 3 HSO3- + NADH + H+,Bidirectional,1.8.1.22,"K11180, K11181",M00596,R00295,"dsrA, dsrB","dsrA, dsrB"
"3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]",3'-Phosphoadenylyl sulfate + H2O <=> Adenylyl sulfate + Orthophosphate,Bidirectional,3.1.3.7,K01082,None,R00508,cysQ,cysQ
bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3],3'-Phosphoadenylyl sulfate + H2O <=> Adenylyl sulfate + Orthophosphate,Bidirectional,3.1.3.7,K06881,None,R00508,nrnA,nrnA
"3'(2'), 5'-bisphosphate nucleotidase / inositol polyphosphate 1-phosphatase [EC:3.1.3.7 3.1.3.57]",3'-Phosphoadenylyl sulfate + H2O <=> Adenylyl sulfate + Orthophosphate,Bidirectional,3.1.3.7,K15422,None,R00508,SAL,SAL
Golgi-resident PAP phosphatase [EC:3.1.3.7],3'-Phosphoadenylyl sulfate + H2O <=> Adenylyl sulfate + Orthophosphate,Bidirectional,3.1.3.7,K15759,None,R00508,IMPAD1,IMPAD1
bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25],ATP + Adenylyl sulfate <=> ADP + 3'-Phosphoadenylyl sulfate,Bidirectional,2.7.1.25,"K00955, K00957",M00176,R00509,cysNC,cysNC
adenylylsulfate kinase [EC:2.7.1.25],ATP + Adenylyl sulfate <=> ADP + 3'-Phosphoadenylyl sulfate,Bidirectional,2.7.1.25,"K00956, K00957, K00860",M00176,R00509,cysC,cysC
adenylylsulfate kinase [EC:2.7.1.25],ATP + Adenylyl sulfate <=> ADP + 3'-Phosphoadenylyl sulfate,Bidirectional,2.7.1.25,"K00958, K00860",M00176,R00509,cysC,cysC
3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25],ATP + Adenylyl sulfate <=> ADP + 3'-Phosphoadenylyl sulfate,Bidirectional,2.7.1.25,K13811,M00987,R00509,PAPSS,PAPSS
"sulfite dehydrogenase (cytochrome) subunit B [EC:1.8.2.1], sulfite dehydrogenase (cytochrome) subunit A [EC:1.8.2.1]",Sulfite + H2O + 2 Ferricytochrome c <=> Sulfate + 2 Ferrocytochrome c + 2 H+,Bidirectional,1.8.2.1,"K00386, K05301",None,R00528,"sorB, sorA","sorB, sorA"
"bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25], sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]",ATP + Sulfate <=> Diphosphate + Adenylyl sulfate,Bidirectional,2.7.7.4,"K00955, K00957",M00176,R00529,"cysNC, cysD","cysNC, cysD"
"sulfate adenylyltransferase subunit 1 [EC:2.7.7.4], sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]",ATP + Sulfate <=> Diphosphate + Adenylyl sulfate,Bidirectional,2.7.7.4,"K00956, K00957, K00860",M00176,R00529,"cysN, cysD","cysN, cysD"
sulfate adenylyltransferase [EC:2.7.7.4],ATP + Sulfate <=> Diphosphate + Adenylyl sulfate,Bidirectional,2.7.7.4,K00958,M00596,R00529,sat,sat
sulfate adenylyltransferase [EC:2.7.7.4],ATP + Sulfate <=> Diphosphate + Adenylyl sulfate,Bidirectional,2.7.7.4,"K00958, K00860",M00176,R00529,sat,sat
3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25],ATP + Sulfate <=> Diphosphate + Adenylyl sulfate,Bidirectional,2.7.7.4,K13811,M00987,R00529,PAPSS,PAPSS
sulfate adenylyltransferase (ADP) / ATP adenylyltransferase [EC:2.7.7.5 2.7.7.53],ADP + Sulfate <=> Orthophosphate + Adenylyl sulfate,Bidirectional,2.7.7.5,K00988,None,R00530,APA1_2,APA1_2
sulfate adenylyltransferase (ADP) / adenylylsulfatase [EC:2.7.7.5 3.6.2.1],ADP + Sulfate <=> Orthophosphate + Adenylyl sulfate,Bidirectional,2.7.7.5,K22966,None,R00530,HINT4,HINT4
sulfate adenylyltransferase (ADP) / adenylylsulfatase [EC:2.7.7.5 3.6.2.1],Adenylyl sulfate + H2O <=> AMP + Sulfate,Bidirectional,3.6.2.1,K22966,None,R00531,HINT4,HINT4
sulfite oxidase [EC:1.8.3.1],Sulfite + Oxygen + H2O <=> Sulfate + Hydrogen peroxide,Bidirectional,1.8.3.1,K00387,None,R00533,SUOX,SUOX
serine O-acetyltransferase [EC:2.3.1.30],L-Serine + Acetyl-CoA <=> O-Acetyl-L-serine + CoA,Bidirectional,2.3.1.30,K00640,M00021,R00586,cysE,cysE
serine/homoserine O-acetyltransferase [EC:2.3.1.30 2.3.1.31],L-Serine + Acetyl-CoA <=> O-Acetyl-L-serine + CoA,Bidirectional,2.3.1.30,K19726,None,R00586,dcsE,dcsE
serine O-acetyltransferase [EC:2.3.1.30],L-Serine + Acetyl-CoA <=> O-Acetyl-L-serine + CoA,Bidirectional,2.3.1.30,K23304,M00021,R00586,cysE,cysE
methionine S-methyltransferase [EC:2.1.1.12],S-Adenosyl-L-methionine + L-Methionine <=> S-Adenosyl-L-homocysteine + S-Methyl-L-methionine,Bidirectional,2.1.1.12,K28064,None,R00649,mmtN,mmtN
"sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2], sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]",Hydrogen sulfide + 3 NADP+ + 3 H2O <=> Sulfite + 3 NADPH + 3 H+,Bidirectional,1.8.1.2,"K00380, K00381",M00176,R00858,"cysJ, cysI","cysJ, cysI"
"anaerobic sulfite reductase subunit C, anaerobic sulfite reductase subunit A, anaerobic sulfite reductase subunit B",Hydrogen sulfide + 3 NADP+ + 3 H2O <=> Sulfite + 3 NADPH + 3 H+,Bidirectional,1.8.1.2,"K00385, K16950, K16951",None,R00858,"asrC, asrA, asrB","asrC, asrA, asrB"
sulfite reductase (ferredoxin) [EC:1.8.7.1],Hydrogen sulfide + 6 Oxidized ferredoxin + 3 H2O <=> Sulfite + 6 Reduced ferredoxin + 6 H+,Bidirectional,1.8.7.1,K00392,"M00176, M00987",R00859,sir,sir
"dissimilatory sulfite reductase alpha subunit [EC:1.8.1.22], dissimilatory sulfite reductase beta subunit [EC:1.8.1.22]",Protein-trisulfide + NAD+ + 3 H2O <=> Protein dithiol + Sulfite + NADH + H+,Bidirectional,1.8.1.22,"K11180, K11181",M00596,R00861,"dsrA, dsrB","dsrA, dsrB"
cysteine synthase [EC:2.5.1.47],O-Acetyl-L-serine + Hydrogen sulfide <=> L-Cysteine + Acetate,Bidirectional,"2.5.1.47, 2.5.1.65",K01738,M00021,R00897,cysK,cysK
cysteine synthase / O-phosphoserine sulfhydrylase / cystathionine beta-synthase [EC:2.5.1.47 2.5.1.65 4.2.1.22],O-Acetyl-L-serine + Hydrogen sulfide <=> L-Cysteine + Acetate,Bidirectional,"2.5.1.47, 2.5.1.65",K10150,None,R00897,cysO,cysO
L-3-cyanoalanine synthase/ cysteine synthase [EC:2.5.1.47 4.4.1.9],O-Acetyl-L-serine + Hydrogen sulfide <=> L-Cysteine + Acetate,Bidirectional,"2.5.1.47, 2.5.1.65",K13034,M00021,R00897,ATCYSC1,ATCYSC1
O-acetylhomoserine/O-acetylserine sulfhydrylase [EC:2.5.1.49 2.5.1.47],O-Acetyl-L-serine + Hydrogen sulfide <=> L-Cysteine + Acetate,Bidirectional,"2.5.1.47, 2.5.1.65",K17069,M00021,R00897,MET17,MET17
cystathionine gamma-lyase / homocysteine desulfhydrase [EC:4.4.1.1 4.4.1.2],L-Homocysteine + H2O <=> Hydrogen sulfide + Ammonia + 2-Oxobutanoate,Bidirectional,4.4.1.2,K17217,None,R01283,mccB,mccB
cystathionine gamma-synthase [EC:2.5.1.48],O-Succinyl-L-homoserine + Hydrogen sulfide <=> L-Homocysteine + Succinate,Bidirectional,2.5.1.48,K01739,None,R01288,metB,metB
O-succinylhomoserine sulfhydrylase [EC:2.5.1.-],O-Succinyl-L-homoserine + Hydrogen sulfide <=> L-Homocysteine + Succinate,Bidirectional,2.5.1.48,K10764,None,R01288,metZ,metZ
homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46],Succinyl-CoA + L-Homoserine <=> CoA + O-Succinyl-L-homoserine,Bidirectional,2.3.1.46,K00641,None,R01777,metX,metX
homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31],Succinyl-CoA + L-Homoserine <=> CoA + O-Succinyl-L-homoserine,Bidirectional,2.3.1.46,K00651,None,R01777,metA,metA
methanethiol oxidase [EC:1.8.3.4],Methanethiol + Oxygen + H2O <=> Hydrogen sulfide + Formaldehyde + Hydrogen peroxide,Bidirectional,1.8.3.4,K17285,None,R01851,SELENBP1,SELENBP1
thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2],Thiosulfate + Cyanide ion <=> Sulfite + Thiocyanate,Bidirectional,2.8.1.1,K01011,None,R01931,TST,TST
thiosulfate sulfurtransferase [EC:2.8.1.1],Thiosulfate + Cyanide ion <=> Sulfite + Thiocyanate,Bidirectional,2.8.1.1,K02439,None,R01931,glpE,glpE
phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10],"Thioredoxin + 3'-Phosphoadenylyl sulfate <=> Thioredoxin disulfide + Sulfite + Adenosine 3',5'-bisphosphate",Bidirectional,1.8.4.8,K00390,M00176,R02021,cysH,cysH
dimethylpropiothetin dethiomethylase [EC:4.4.1.3],"S,S-Dimethyl-beta-propiothetin <=> Dimethyl sulfide + Acrylic acid",Bidirectional,4.4.1.3,K16953,None,R02574,dddL,dddL
dimethylpropiothetin dethiomethylase [EC:4.4.1.3],"S,S-Dimethyl-beta-propiothetin <=> Dimethyl sulfide + Acrylic acid",Bidirectional,4.4.1.3,K28067,None,R02574,dddP,dddP
dimethylpropiothetin dethiomethylase [EC:4.4.1.3],"S,S-Dimethyl-beta-propiothetin <=> Dimethyl sulfide + Acrylic acid",Bidirectional,4.4.1.3,K28068,None,R02574,dddW,dddW
dimethylpropiothetin dethiomethylase [EC:4.4.1.3],"S,S-Dimethyl-beta-propiothetin <=> Dimethyl sulfide + Acrylic acid",Bidirectional,4.4.1.3,K28069,M00992,R02574,dddY,dddY
"sulfur reductase molybdopterin subunit, sulfur reductase FeS subunit, sulfur reductase membrane anchor",Sulfur + Reduced acceptor <=> Hydrogen sulfide + Acceptor,Bidirectional,,"K17219, K17220, K17221",M00986,R03533,"sreA, sreB, sreC","sreA, sreB, sreC"
taurine dioxygenase [EC:1.14.11.17],Taurine + 2-Oxoglutarate + Oxygen <=> Sulfite + Aminoacetaldehyde + Succinate + CO2,Bidirectional,1.14.11.17,K03119,None,R05320,tauD,tauD
adenylyl-sulfate reductase (glutathione) [EC:1.8.4.9],AMP + Sulfite + Glutathione disulfide <=> Adenylyl sulfate + 2 Glutathione,Bidirectional,1.8.4.9,K05907,M00987,R05717,APR,APR
thiosulfate dehydrogenase (quinone) [EC:1.8.5.2],2 Thiosulfate + Decylubiquinone <=> Tetrathionate + Decylubiquinol,Bidirectional,1.8.5.2,K05908,M00984,R07177,doxDA,doxDA
"thiosulfate dehydrogenase (quinone) large subunit [EC:1.8.5.2], thiosulfate dehydrogenase (quinone) small subunit [EC:1.8.5.2]",2 Thiosulfate + Decylubiquinone <=> Tetrathionate + Decylubiquinol,Bidirectional,1.8.5.2,"K16937, K16936",M00984,R07177,"doxD, doxA","doxD, doxA"
FMN reductase [EC:1.5.1.38],Alkanesulfonate + Reduced FMN + Oxygen <=> Aldehyde + FMN + Sulfite + H2O,Bidirectional,1.14.14.5,K00299,None,R07210,ssuE,ssuE
alkanesulfonate monooxygenase [EC:1.14.14.5 1.14.14.34],Alkanesulfonate + Reduced FMN + Oxygen <=> Aldehyde + FMN + Sulfite + H2O,Bidirectional,1.14.14.5,K04091,None,R07210,ssuD,ssuD
sulfur oxygenase/reductase [EC:1.13.11.55],4 Sulfur + 4 H2O + Oxygen <=> 2 Hydrogen sulfide + 2 Sulfite,Bidirectional,1.13.11.55,K16952,None,R07365,sor,sor
"adenylylsulfate reductase, subunit A [EC:1.8.99.2], adenylylsulfate reductase, subunit B [EC:1.8.99.2]",AMP + Sulfite + FAD <=> Adenylyl sulfate + FADH2,Bidirectional,1.8.99.2,"K00394, K00395",M00596,R08553,"aprA, aprB","aprA, aprB"
sulfur dioxygenase [EC:1.13.11.18],S-Sulfanylglutathione + Oxygen + H2O <=> Glutathione + Sulfite,Bidirectional,1.13.11.18,K17725,None,R08678,ETHE1,ETHE1
"sulfide dehydrogenase [flavocytochrome c] flavoprotein chain [EC:1.8.2.3], cytochrome subunit of sulfide dehydrogenase",Hydrogen sulfide + 2 Ferricytochrome c <=> Sulfur + 2 Ferrocytochrome c + 2 H+,Bidirectional,1.8.2.3,"K17229, K17230",M00985,R09499,"fccB, fccA","fccB, fccA"
"dimethylsulfide dehydrogenase subunit alpha [EC:1.8.2.4], dimethylsulfide dehydrogenase subunit beta, dimethylsulfide dehydrogenase subunit gamma",Dimethyl sulfide + 2 Ferricytochrome c2 + H2O <=> Dimethyl sulfoxide + 2 Ferrocytochrome c2 + 2 H+,Bidirectional,1.8.2.4,"K16964, K16965, K16966",None,R09500,"ddhA, ddhB, ddhC","ddhA, ddhB, ddhC"
"dimethyl sulfoxide reductase iron-sulfur subunit, dimethyl sulfoxide reductase membrane subunit",Dimethyl sulfide + Menaquinone + H2O <=> Dimethyl sulfoxide + Menaquinol,Bidirectional,1.8.5.3,"K00184, K00185",None,R09501,"dmsB, dmsC","dmsB, dmsC"
"anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3], anaerobic dimethyl sulfoxide reductase subunit B, anaerobic dimethyl sulfoxide reductase subunit C",Dimethyl sulfide + Menaquinone + H2O <=> Dimethyl sulfoxide + Menaquinol,Bidirectional,1.8.5.3,"K07306, K07307, K07308",None,R09501,"dmsA, dmsB, dmsC","dmsA, dmsB, dmsC"
toluene monooxygenase system ferredoxin subunit,Methanesulfonic acid + NADH + H+ + Oxygen <=> Formaldehyde + NAD+ + Sulfite + H2O,Bidirectional,1.14.13.111,K15762,None,R09513,tmoC,tmoC
toluene monooxygenase electron transfer component [EC:1.18.1.3],Methanesulfonic acid + NADH + H+ + Oxygen <=> Formaldehyde + NAD+ + Sulfite + H2O,Bidirectional,1.14.13.111,K15765,None,R09513,tmoF,tmoF
"methanesulfonate monooxygenase subunit alpha [EC:1.14.13.111], methanesulfonate monooxygenase subunit beta [EC:1.14.13.111]",Methanesulfonic acid + NADH + H+ + Oxygen <=> Formaldehyde + NAD+ + Sulfite + H2O,Bidirectional,1.14.13.111,"K16968, K16969",None,R09513,"msmA, msmB","msmA, msmB"
dimethyl-sulfide monooxygenase [EC:1.14.13.131],Dimethyl sulfide + Oxygen + NADH + H+ <=> Methanethiol + Formaldehyde + NAD+ + H2O,Bidirectional,1.14.13.131,K16967,None,R09786,dmoA,dmoA
methylthiol:coenzyme M methyltransferase [EC:2.1.1.251],Methanethiol + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + Hydrogen sulfide,Bidirectional,2.1.1.251,K16954,None,R09997,mtsA,mtsA
methylated-thiol--corrinoid protein,Methanethiol + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + Hydrogen sulfide,Bidirectional,2.1.1.251,K16955,None,R09997,mtsB,mtsB
"anaerobic sulfite reductase subunit C, anaerobic sulfite reductase subunit A, anaerobic sulfite reductase subunit B",Sulfite + 3 NADH + 3 H+ <=> Hydrogen sulfide + 3 NAD+ + 3 H2O,Bidirectional,,"K00385, K16950, K16951",None,R10146,"asrC, asrA, asrB","asrC, asrA, asrB"
"thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5], thiosulfate reductase electron transport protein, thiosulfate reductase cytochrome b subunit",Thiosulfate + Menaquinol <=> Sulfite + Hydrogen sulfide + Menaquinone,Bidirectional,1.8.5.5,"K08352, K08353, K08354",None,R10149,"phsA, phsB, phsC","phsA, phsB, phsC"
"tetrathionate reductase subunit A, tetrathionate reductase subunit B, tetrathionate reductase subunit C",Tetrathionate + 2 e- <=> 2 Thiosulfate,Bidirectional,,"K08357, K08358, K08359",None,R10150,"ttrA, ttrB, ttrC","ttrA, ttrB, ttrC"
"L-cysteine S-thiosulfotransferase [EC:2.8.5.2], S-sulfosulfanyl-L-cysteine sulfohydrolase [EC:3.1.6.20], sulfur-oxidizing protein SoxY, sulfur-oxidizing protein SoxZ",Thiosulfate + 5 H2O + 8 Ferricytochrome c <=> 2 Sulfate + 8 Ferrocytochrome c + 10 H+,Bidirectional,,"K17222, K17223, K17224, K17226, K17227",M00595,R10151,"soxA, soxX, soxB, soxY, soxZ","soxA, soxX, soxB, soxY, soxZ"
sulfide:quinone oxidoreductase [EC:1.8.5.4],n Hydrogen sulfide + n Quinone <=> Polysulfide + n Hydroquinone,Bidirectional,1.8.5.4,K17218,None,R10152,sqr,sqr
dimethylsulfone monooxygenase [EC:1.14.14.35],Dimethyl sulfone + 2 Reduced FMN + 2 Oxygen <=> Methanesulfonic acid + Formaldehyde + 2 FMN + 2 H2O,Bidirectional,1.14.14.35,K17228,None,R10203,sfnG,sfnG
